UNIPROT	gene_name	significant	logpval	difference
Q9CQL1	Magohb	NA	0.766018	0.0732829
A0A087WQ44	Srcap	NA	0.255556	0.25278
Q8K2K6	Agfg1	NA	1	-0.48209
P81183	Ikzf2	NA	1	NA
P06876	Myb	NA	0.972238	0.0206699
A0A087WQ32	Pign	NA	0.152263	0.56156
Q8R0S2	Iqsec1	+	0.0215583	-0.458314
Q8BZN6	Dock10	NA	0.472042	0.142466
Q3V0J1	Tmem237	NA	0.851197	-0.0900962
Q9D321	Slc35a4	NA	1	NA
Q2HXL6	Edem3	NA	1	-0.00732295
A0A087WQN7	Xrn1	NA	0.737268	-0.0749766
Q9ERE3	Sgk3	NA	1	NA
Q9CQC6	Bzw1	NA	0.16206	0.215363
O89110	Casp8	NA	1	-0.0119298
Q9WUD8	Faim	NA	0.820036	-0.0837994
Q80TV8	Clasp1	+	0.0215217	-0.61443
A0A087WSP5	Stat1	NA	0.313002	0.145914
Q60759	Gcdh	+	0.0473364	0.583283
Q3TLH4	Prrc2c	+	0.00416842	-0.68509
Q3UMC0	Spata5	NA	0.957399	0.0284411
Q02384	Sos2	NA	1	NA
Q8K4R4	Pitpnc1	NA	0.874666	-0.0977669
A0A0A0MQ89	Actr5	NA	0.118614	0.372132
A0A0A0MQ90	S100a13	+	0.0056	0.9898
Q69ZK6	Jmjd1c	+	0.0100571	-0.514814
Q8K3D3	Swi5	+	0.0642604	-0.428783
P68368	Tuba4a	NA	0.512876	-0.231917
Q8K1H1	Tdrd7	NA	1	0.461921
A3KGS3	Ralgapa2	+	0.00996154	0.415143
A2AHC3	Camsap1	NA	1	NA
P16858	Gapdh	NA	0.957196	0.031559
Q9D906	Atg7	+	0.0611911	0.294994
P09925	Surf1	NA	1	0.0787153
Q9JKP5	Mbnl1	NA	0.585289	-0.211327
Q03173	Enah	+	0.00193333	-1.13145
P35123	Usp4	NA	0.924657	-0.0354328
E9QNQ4	Rapgef2	NA	0.1533	0.910886
Q8BMG7	Rab3gap2	NA	0.469969	0.16347
Q3UJD6	Usp19	NA	0.899701	-0.0277996
Q9CQ22	Lamtor1	NA	0.253923	0.363294
Q8BVE3	Atp6v1h	+	0.0693983	0.374526
P59481	Lman2l	+	0.0027619	0.867194
A0A0A6YY64	Pfkfb3	NA	0.837156	0.0808137
Q9CSN1	Snw1	NA	0.129505	-0.579339
A0A0B4J1E3	Ighmbp2	NA	0.905913	0.0453993
A0A0B4J1E6	Fcgr2b	+	0.0039558	1.0615
O35343	Kpna4	NA	0.804848	-0.0894715
Q9QZ73	Dcun1d1	NA	0.381944	0.195215
P27546	Map4	+	0.0729562	-0.36941
Q80T69	Rsbn1	NA	0.190389	0.237134
Q8BTZ4	Anapc5	NA	0.163441	0.211793
O35387	Hax1	+	0.004	-0.711717
P61079	Ube2d3	NA	1	-0.00490697
Q9JK48	Sh3glb1	NA	0.436061	-0.40366
Q9CVI2	Fam133b	NA	1	0
Q91WK0	Lrrfip2	+	0.00944297	-0.636431
Q8CJ27	Aspm	NA	1	NA
Q4JK59	Tet2	NA	1	0
Q80UK7	Sass6	NA	1	NA
Q3U829	Ap5z1	NA	1	NA
E9Q9L6	Nbeal2	+	0.00436585	0.688667
Q9D394	Rufy3	NA	1	-0.304665
Q6NXI6	Rprd2	NA	0.131804	0.215677
E9Q7M2	Tsc22d2	NA	1	-0.106536
P07091	S100a4	NA	0.110012	-0.265787
Q8BK75	Elp6	NA	1	NA
Q3TMF4	Nras	NA	1	0
P54729	Nub1	NA	0.501762	0.121297
Q6PIC6	Atp1a3	NA	0.560498	0.16839
Q8BUV3	Gphn	NA	0.321657	-0.194846
A1A5B6	Tbc1d25	NA	0.168315	-0.322969
Q61214	Dyrk1a	NA	0.350341	0.200487
Q8VHR5	Gatad2b	+	0.0669278	-0.488797
A2A432	Cul4b	NA	0.134552	-0.247564
Q8R4D1	Slc9a8	NA	1	NA
E9Q8D1	Zmynd8	NA	0.23083	0.343122
Q91ZF0	Dnajc24	NA	0.134952	-0.208553
Q62077	Plcg1	NA	0.826708	0.10957
P97432	Nbr1	NA	0.945836	0.0475632
A2A4P0	Dhx8	NA	0.464634	-0.159117
Q9D1C1	Ube2c	+	0.00229703	-1.32368
P84099	Rpl19	NA	0.204195	-0.366942
A2A5R2	Arfgef2	+	0.0473793	0.320003
Q9Z108	Stau1	NA	1	-0.964613
P55194	Sh3bp1	NA	0.532532	0.129924
E9Q6A7	Bptf	NA	0.740474	0.13585
A2A6A1	Gpatch8	NA	1	0.0147572
A2A6Q5	Cdc27	NA	1	-0.326916
Q6SJQ7	Cd300lf	NA	1	NA
A2A791	Zmym4	NA	0.770644	0.121202
Q8CFX1	H6pd	NA	1	-6.82831e-4
A2A7P4	Zfp691	NA	1	NA
Q3V1T4	P3h1	+	0.0589451	-0.241803
Q91WQ3	Yars	NA	0.863179	-0.0629298
Q3TJB1	Zmym1	+	0.0793936	-0.9987
A2A8Z1	Osbpl9	NA	0.212282	0.274217
A2A9C3	Szt2	+	0.0169312	0.91509
O35166	Gosr2	NA	0.516667	0.227522
Q8BMK0	Cep85	+	0.0352355	-0.318728
Q8BHG1	Nrd1	+	0.0473566	-0.418987
Q3U2P1	Sec24a	NA	0.64027	0.145843
O35250	Exoc7	NA	0.496972	-0.183247
A2AB59	Arhgap27	NA	1	-0.00193024
A2ABV5	Med14	NA	0.99996	0.0137335
Q922E4	Pcyt2	NA	0.586823	-0.157347
O54864	Suv39h1	NA	1	NA
Q9DBG6	Rpn2	NA	0.143855	0.25067
A2ACJ2	Faap100	NA	1	0
A4FUW1	Rptor	NA	0.403144	0.228683
Q8K1G9	Dhx35	+	0.0278796	0.490527
A2ADH1	Magt1	NA	0.813604	0.0935993
Q8R3G1	Ppp1r8	NA	0.524287	0.12138
A2ADY9	Ddi2	NA	0.36883	-0.163473
Q9DBT5	Ampd2	NA	0.255249	-0.195953
Q99LI2	Clcc1	NA	0.295074	-0.345157
Q3U2S4	Otud5	NA	1	-0.335654
Q64092	Tfe3	NA	1	-0.347435
A2AF47	Dock11	+	0.0182764	0.513796
O35638	Stag2	NA	1	0
Q7TMY8	Huwe1	NA	0.430939	-0.10521
Q99N15	Hsd17b10	+	0.0104302	0.631183
A2AG36	Pigo	+	0.00972468	0.670549
P34902	Il2rg	NA	1	NA
A2AGH6	Med12	NA	0.389988	0.195107
Q80U28	Madd	NA	1	0
A2AHJ4	Brwd3	NA	1	NA
Q80UP3	Dgkz	+	0.035691	0.586256
A2AI05	Ndor1	NA	1	NA
A2AIG8	Accs	NA	1	NA
A2AIL4	Ndufaf6	NA	1	0.603314
A2AIV8	Card9	NA	0.296238	0.32022
E9QAT4	Sec16a	NA	0.990167	-0.016847
A2AJ15	Man1b1	NA	0.195789	0.399541
A2AJ26	Abca2	NA	0.893247	0.0486069
A2AJ72	Fubp3	NA	0.307738	0.152893
A2AJ88	Pnpla7	NA	1	NA
A2AJG0	Rpp38	NA	0.165927	0.446559
A2AJI0	Map7d1	NA	1	0
Q3UV70	Pdp1	NA	0.129416	0.385953
A2AJT5	Pnisr	NA	1	NA
P43406	Itgav	NA	1	0
Q5HZI9	Slc25a51	NA	1	NA
A2AKX3	Setx	NA	0.627046	-0.0749359
Q8BG05	Hnrnpa3	NA	0.637418	0.127567
Q8C0I1	Agps	NA	0.203889	0.193817
Q8BSY0	Asph	+	0.00394667	0.82357
Q6PAQ4	Rexo4	+	0.0459519	-0.54232
Q8CBC7	Ftsj1	NA	1	-0.959085
Q3V0C5	Usp48	NA	0.461497	0.165944
Q91ZW2	Pofut1	NA	1	-0.00283432
Q03249	Galt	NA	0.246234	0.598735
Q91VX2	Ubap2	+	0.00390148	-0.752947
A2AN08	Ubr4	NA	0.950521	-0.0219504
P52623	Uck1	NA	1	-0.0029672
J3QMC5	Mdn1	+	0.0906525	-0.258823
Q3UIU2	Ndufb6	+	0.0820429	0.239224
A2APB8	Tpx2	+	0.00386667	-3.28916
Q80V86	Ints8	+	0.0137654	0.745914
P15379	Cd44	NA	1	0.0338173
O08901	Bub1	NA	1	NA
A2APY7	Ndufaf5	NA	1	NA
A2AQ14	Oip5	NA	1	0
Q9CWX2	Ndufaf1	NA	0.892919	-0.0955553
A2AQ19	Rtf1	NA	0.405525	-0.246767
Q80TY0	Fnbp1	+	0.0225849	-0.922869
Q8BVW0	Ganc	NA	1	1.70685
Q9QXG4	Acss2	+	0.00261765	1.14056
A2AR02	Ppig	NA	0.537893	0.18344
Q9QYR6	Map1a	+	0.0439062	0.591127
P35285	Rab22a	NA	0.527709	0.305952
E9QAM5	Helz2	+	0.040342	0.341171
O54826	Mllt10	+	0.021134	-0.42051
E9Q8N1	Ttn	NA	1	0.75932
A2AT37	Upf2	NA	0.121623	0.262034
Q99JX3	Gorasp2	+	0.0574558	-0.443373
Q8BSM7	Slc43a1	NA	1	1.02482
Q8BY71	Hat1	NA	0.226633	-0.352383
Q9QZ05	Eif2ak4	NA	1	NA
A2AUM9	Cep152	NA	1	0
Q60866	Pter	NA	0.154916	0.53979
A2AUY4	Baz2b	NA	0.772059	0.0919768
Q99PL5	Rrbp1	+	0.0227427	-0.356313
Q8VHQ9	Acot11	+	0.00604746	0.892023
A2AWA9	Rabgap1	+	0.0064586	0.550593
Q64455	Ptprj	NA	1	1.09487
Q8R3V5	Sh3glb2	NA	1	0.01308
A2AWL7	Mga	+	0.0180812	-1.08398
P59326	Ythdf1	+	0.0317644	-0.37456
A2AWT5	Ubtf	NA	0.136586	-0.332117
Q9Z103	Adnp	NA	0.805996	-0.0532792
A2BDX3	Mocs3	+	0.0138168	-0.661293
Q3TAE8	Alg6	NA	1	NA
A2BE28	Las1l	NA	0.113835	-0.331889
O88487	Dync1i2	NA	1	-0.003877
A2BH40	Arid1a	NA	0.960517	0.0236098
A2CG63	Arid4b	NA	0.94642	0.036363
Q9Z148	Ehmt2	NA	0.192648	-0.27002
A2RSJ4	Uhrf1bp1l	NA	0.619153	0.1824
A2RST1	Mgst2	NA	1	1.73937
A2RSX7	Tyw5	NA	1	NA
A2RSY1	Kansl3	NA	1	0
A2RSY6	Trmt1l	NA	0.305157	0.181897
A2RT67	Dennd3	NA	0.947009	0.0322933
A2RTH5	Lcmt1	NA	0.691177	0.149963
A3KFM7	Chd6	NA	1	NA
A3KGB4	Tbc1d8b	NA	0.97124	0.0233968
A3KGF7	Plcb2	+	0.00999509	0.455034
Q9D9Z1	Knstrn	+	0.0137398	-1.17716
Q60952	Cep250	NA	1	NA
Q9D898	Arpc5l	NA	1	-0.113541
A3KGW5	Cercam	NA	1	NA
E9Q921	Aff1	NA	1	1.59689
A6H5Y3	Mtr	NA	1	0.18226
A6H5Z3	Exoc6b	NA	1	NA
A6H611	Mipep	NA	0.182267	-0.433453
A6H619	Phrf1	NA	1	-0.351055
A6H630	Armt1	NA	0.588641	0.135714
A6H8H2	Dennd4c	NA	0.647681	0.145824
Q91Y86	Mapk8	NA	0.889495	0.0511932
E9Q284	Coil	NA	1	0.419496
A6PWY4	Wdr76	+	0.00397315	-0.641903
A8C756	Thada	NA	0.332929	-0.455856
Q9JL15	Lgals8	NA	1	0
Q8QZX5	Lsm10	NA	1	NA
Q8CFI5	Pars2	+	0.00227451	0.766511
Q9QUK4	Naip2	+	0.00993765	0.774195
O35904	Pik3cd	NA	0.212511	-0.161297
Q5SS80	Dhrs13	NA	0.471758	-0.247583
P61022	Chp1	NA	0.881159	0.0703863
Q8VCH5	Rabepk	NA	0.120638	-0.315177
B0V2N1	Ptprs	NA	1	0
Q8BPN8	Dmxl2	NA	0.195112	0.17973
B1AQJ2	Usp36	NA	1	-1.00302
Q8K4H1	Afmid	NA	1	0
O08573	Lgals9	NA	1	0
P28741	Kif3a	NA	1	NA
E9Q614	Chd3	NA	1	-0.0117035
B1ARD6	Slfn9	+	0.0479712	-0.349556
B1ART2	Vps13d	NA	0.566603	0.234446
Q9D032	Ssbp3	NA	1	0
B1ASA5	Zfp362	NA	1	NA
B1ASP2	Jak1	NA	1	-0.0145137
O55047	Tlk2	NA	0.132861	0.278254
Q9D0M1	Prpsap1	NA	0.334008	0.21034
Q60787	Lcp2	NA	1	-0.10337
P47740	Aldh3a2	+	0.00386928	1.03053
Q80Y81	Elac2	NA	0.417376	0.1791
Q64518	Atp2a3	NA	0.21127	0.288923
Q8C2P3	Dus1l	+	0.0497584	-0.251016
Q9WVD4	Clcn5	NA	0.543674	0.244463
Q99LI8	Hgs	NA	0.637232	-0.0866566
Q9Z0X1	Aifm1	NA	0.378707	0.15528
Q9CWP6	Mospd2	NA	0.47388	0.17788
Q99MD9	Nasp	NA	0.321725	-0.167412
P51576	P2rx1	NA	1	NA
B1AUN2	Eif2b3	NA	0.371449	0.15928
B1AUR6	Mms22l	NA	1	NA
Q62406	Irak1	NA	0.240603	0.276754
Q9QY36	Naa10	NA	0.543576	-0.12394
Q8BR70	Yipf6	NA	1	0
B1AVY7	Kif16b	NA	1	NA
B1AVZ0	Uprt	NA	1	NA
Q9Z2C5	Mtm1	NA	1	NA
B1AWD9	Clta	NA	0.158998	-0.318207
Q3U269	Tstd2	NA	1	NA
Q62036	Cep131	NA	1	0
B1AXP6	Tomm5	NA	1	NA
Q9JLM4	Zmym3	+	0.0218494	0.770683
B1AY10	Nfx1	+	0.00201739	-1.22831
B1AY13	Usp24	NA	0.847715	-0.0535107
Q8C5N3	Cwc22	NA	0.12929	0.31612
Q8BKX1	Baiap2	NA	1	0.289351
B1AZI6	Thoc2	NA	0.129293	0.232677
B1AZP2	Dlgap4	NA	1	NA
Q9D773	Mrpl2	NA	0.957541	-0.0392736
P18337	Sell	NA	1	-0.87389
B2KF50	Uhrf1bp1	NA	1	0
Q8BR07	Bicd1	NA	1	-0.349551
Q505B7	Zbtb8os	+	0.0408659	0.81727
B2RQC6	Cad	+	0.0374509	-0.471048
B2RQG2	Phf3	NA	0.509234	0.148816
Q9ERG2	Strn3	NA	0.549414	-0.271901
B2RR83	Ythdc2	NA	1	0.0176563
B2RRE7	Otud4	NA	0.40592	-0.191669
B2RRI2	Sbno1	NA	0.25537	-0.246117
Q6P0A4	Gcc2	NA	0.691467	0.0862605
B2RT41	Zfc3h1	NA	1	0.696246
Q8C5L7	Rbm34	NA	0.691508	-0.118323
B2RUP2	Unc13d	NA	0.977147	0.0339235
B2RUR8	Otud7b	+	0.0285023	-0.662962
B2RWS6	Ep300	NA	0.322397	0.203306
B2RXC1	Trappc11	+	0.01856	0.46
B2RXC6	Polr3a	NA	0.662339	0.170493
B2RXQ2	Ppfia1	NA	0.624007	-0.178317
B2RXR6	Ankrd44	+	0.00552381	0.856124
B2RY04	Dock5	+	0.0042619	0.57547
B2RY56	Rbm25	NA	0.967392	0.0220445
B5B2N2	Nfatc1	NA	1	-0.229551
Q8BTM8	Flna	+	0.0357831	-0.380746
Q9CX84	Rgs19	NA	1	0.238801
Q8CBW3	Abi1	NA	0.103297	0.23672
B7ZMP1	Xpnpep3	+	0.0595066	0.500867
O70237	Gfi1b	NA	1	0.861837
Q91VU7	Pus7	+	0.0677619	-0.398886
F8VQE6	Tatdn2	NA	1	NA
O54972	Cbfa2t3	+	0.0676769	-0.35325
B8JJC1	Tdp1	NA	1	0.0162398
B8JJX8	Zfp738	NA	1	0
B9EI21	Zmat3	NA	1	NA
B9EIX0	Dcp1b	NA	1	0.343953
B9EJ54	Nup205	NA	0.161352	0.20359
B9EJ80	Pdzd8	NA	0.957364	-0.0331739
B9EJ86	Osbpl8	NA	1	-0.00638644
B9EJR8	Dnaaf5	NA	0.122632	-0.23425
B9EJX5	Taf2	+	0.00989227	0.761347
B9EKI3	Tmf1	NA	1	NA
Q3TTA7	Cblb	NA	1	0.79581
D3YTQ3	Hnrnpdl	+	0.0796664	-0.584864
Q8R0G7	Spns1	NA	1	0.225614
