gene_name	significant	logpval	difference	tstat
Muc6	+	6.49452	6.73717	23.3761
Hba-x	+	5.58173	6.65086	17.3425
Hbb-bs	+	4.20785	5.1678	9.95943
Gm45353	+	2.96432	4.94412	5.93664
Hba-a1	+	4.00637	4.78704	9.0841
Gm6525	+	4.1728	4.15713	9.39246
Itgb3	+	4.53198	4.02015	10.5887
Lrrc14b	+	2.16272	3.99188	3.98151
Klf3	+	3.91182	3.98227	8.44468
Tubb3	+	3.27576	3.76559	6.51444
Tas1r1	+	2.3795	3.7265	4.39342
F730016J06Rik	+	2.22536	3.70254	4.07521
H2-T24	+	2.10548	3.49233	3.81483
Hbb-bt	+	3.24102	3.39006	6.30364
Gm20219	+	3.0535	3.34796	5.82733
Ptpn14	+	3.06905	3.28098	5.84391
Mfsd2b	+	3.36746	3.27318	6.58262
Mst1r	+	2.53627	3.23426	4.63775
Igha	+	1.80851	3.18597	3.23461
Cacna1b	+	2.40327	3.14649	4.34761
Zbed5	+	3.38282	3.12788	6.56057
Il34	+	3.29468	3.11272	6.33313
Epb42	+	2.78402	3.09015	5.13395
Mapt	+	3.68765	3.08792	7.33778
Gp5	+	2.28265	3.04379	4.09059
Olfr414	+	2.55283	3.02879	4.62712
Mroh2a	+	2.37561	2.99014	4.26181
Fn3k	+	3.49605	2.96026	6.76736
Hba-a2	+	2.70059	2.95253	4.91624
Epha8	+	4.04289	2.94646	8.224
Lgals4	+	2.6678	2.86389	4.82261
4933417D19Rik	+	1.90493	2.85292	3.36437
Gm15690	+	3.22759	2.79781	6.03352
Csrp3	+	2.18214	2.73734	3.84311
Aatk	+	3.05495	2.72805	5.60884
Asb11	+	1.69033	2.72024	2.98008
Avil	+	2.8616	2.71586	5.1829
G430095P16Rik	+	4.29543	2.70533	8.71597
Lrrc73	+	1.52702	2.69907	2.70897
Gm5914	+	2.54878	2.69179	4.53225
Hid1	+	2.94195	2.69064	5.34572
C230057M02Rik	+	2.09221	2.68085	3.66889
Mmp23	+	2.59345	2.67602	4.61655
Il11ra1	+	3.4455	2.65745	6.47435
Siglecf	+	2.89904	2.62568	5.22821
Hyal3	+	2.04997	2.61155	3.5807
Rhag	+	1.51901	2.61017	2.68682
Col7a1	+	2.49379	2.605	4.39985
Plxdc1	+	3.05804	2.51117	5.51762
Mylk	+	4.06141	2.49897	7.87996
F10	+	3.21207	2.49384	5.84463
Ager	+	2.86327	2.48729	5.097
Zfp784	+	1.35169	2.48286	2.40851
Cfap54	+	3.46446	2.4781	6.40592
Pkd2l1	+	3.73694	2.47728	7.05079
D930028M14Rik	+	2.13519	2.44965	3.6976
Tmem184a	+	7.49082	2.4475	17.095
Paqr4	+	1.47336	2.42329	2.59345
Plek	+	3.76978	2.40778	7.07187
Cilp2	+	2.06416	2.40062	3.56257
Mill2	+	1.40203	2.39725	2.47862
Elavl3	+	2.07903	2.38859	3.58561
9530036M11Rik	+	1.95608	2.37942	3.37331
Acrbp	+	3.78333	2.36705	7.0685
Dnhd1	+	3.58656	2.366	6.60684
Ttll3	+	3.93895	2.36407	7.44015
Matk	+	2.4032	2.35952	4.15595
Btg2	+	4.48181	2.35655	8.79807
K230010J24Rik	+	2.33246	2.34787	4.02352
Tfr2	+	2.82695	2.34701	4.96264
Sprn	+	2.00707	2.34124	3.45175
Pdzk1ip1	+	3.15995	2.3331	5.64068
Tnfaip2	+	3.69914	2.32373	6.83258
Notch1	+	2.58077	2.31693	4.47232
Ppp1r14a	+	2.05332	2.31366	3.52429
Hbb-y	+	2.46191	2.31013	4.24801
Abca1	+	4.56107	2.30524	8.92853
Igf2r	+	3.74392	2.30484	6.92001
Cnih2	+	2.68459	2.27553	4.65349
Tmem191c	+	3.17428	2.26879	5.63231
Tmem91	+	2.57629	2.26558	4.44445
D930015E06Rik	+	3.08699	2.26375	5.44776
Spta1	+	3.20832	2.26351	5.70057
Cst7	+	2.37802	2.26173	4.07911
Zbtb20	+	2.44059	2.25916	4.19155
Car15	+	2.52287	2.25525	4.34117
Mturn	+	2.83887	2.23855	4.93564
AA415398	+	2.2876	2.23514	3.90965
Col5a1	+	4.00112	2.23348	7.45216
Zbtb16	+	4.97595	2.21342	9.83425
Gria3	+	3.18813	2.20251	5.61919
Trim58	+	1.47242	2.20241	2.56445
Cela1	+	1.46139	2.20172	2.54734
Selenbp2	+	2.36045	2.20015	4.02735
Kel	+	2.13467	2.19964	3.63433
Gm26740	+	2.63572	2.19355	4.52646
Ccdc68	+	1.79778	2.18164	3.07293
AI480526	+	2.98408	2.18108	5.19203
Klf1	+	4.07728	2.17769	7.56688
Tulp1	+	2.13182	2.17697	3.62325
Pga5	+	2.15715	2.17202	3.66496
Mettl7a1	+	2.0615	2.17192	3.50329
Eps8l2	+	2.07708	2.16205	3.52683
Sapcd1	+	2.40308	2.15918	4.08892
Msh5	+	3.97684	2.15272	7.30411
Zfp874b	+	2.16185	2.14885	3.66627
Nwd1	+	2.06883	2.14245	3.50778
4933423P22Rik	+	2.22348	2.13711	3.76794
Pik3c2g	+	3.57745	2.13378	6.39222
Pbx4	+	1.65811	2.12763	2.84132
Ankrd23	+	2.81394	2.12465	4.8304
