gene_name	gold_standard
EGFR	100
GRB2	100
HRAS	100
ARAF	100
KRAS	100
NRAS	100
MAPK1	100
MAPK3	100
MAP2K1	100
MAP2K2	100
RAF1	100
CCND1	100
SOS1	100
SOS2	100
BRAF	100
JNK	100
STAT5A	100
STAT5B	100
JUN	100
PIK3CA	100
MTOR	100
CDKN1A	-100
CDKN1B	-100
RPS6KB1	100
EIF4EBP	-100
BAD	-100
GSK3B	-100
AKT1	100
AKT2	100
AKT3	100
SRC	100
ABL1	100
PAK1	100
CAMK1	100
CAMK1D	100
CAMK1G	100
CAMK2A	100
CAMK2B	100
CAMK2D	100
CAMK2G	100
CAMK4	100
MYC	100
JAK2	100
NCK1	100
SHC1	100
RPS6	100
APOPTOSIS	-100
AUTOPHAGY	-100
CELL_CYCLE_BLOCK	-100
CELL_CYCLE_EXIT	-100
CELL_CYCLE_PROGRESS_	100
CELL_DEATH	-100
CELL_GROWTH	100
CELL_MIGRATION	100
CHAPERONE-MEDIATED_AUTOPHAGY	-100
G0/G1_TRANSITION	100
G1/S_TRANSITION	100
G1/S_TRANSITION_CHECKPOINT	-100
G2/M_TRANSITION	100
G2/M_TRANSITION-CHECKPOINT	-100
GLYCOGEN_SYNTHESIS	-100
GLYCOLYSIS	100
OXIDATIVE_PHOSPHORYLATION	-100
PROLIFERATION	100
RIBOSOME_BIOGENESIS	100
TRANSLATIONAL_ELONGATION	100
TRANSLATIONAL_REGULATION	100
