gene_name	gold_standard
RPS6KB1	-100
POLDIP3	-100
EIF4B	-100
PDCD4	100
EIF4EBP1	100
EIF4E	-100
RPS6KB1	-100
CAD	-100
LPIN1	-100
SREBF1	-100
HIF1A	-100
UVRAG	100
ULK1	100
TFEB	100
MAPK7	100
ATF4	-100
TFEB	100
SREBF1	-100
HIF1A	-100
PPARGC1A	100
SGK1	-100
FOXO1	100
FOXO3	100
AKT1	-100
AKT2	-100
PRKCA	-100
PRKCA	-100
PRKG1	-100
PRKCD	-100
PRKCZ	-100
PRKCG	-100
PRKCE	-100
TXNIP	-100
PFKFB2	100
PFKFB3	100
MTOR	-100
CREB1	-100
SIRT1	100
PCK1	100
HNF4A	-100
HMGCR	-100
LIPE	-100
ACACA	-100
ACACB	-100
SREBF1	-100
PTGS2	-100
TP53	100
CDKN1B	100
CDKN1A	100
ELAVL1	-100
CCNB1	-100
EEF2K	100
EEF2	-100
TSC1	100
TSC2	100
RHEB	-100
ULK1	100
EIF4EBP1	100
RPS6KB1	-100
FOXO3	100
RELA	-100
NFKB1	-100
CRTC1	-100
NFE2L2	100
FOXO3	100
TP53	100
ACACA	-100
ACACB	-100
TXNIP	-100
PFKFB3	100
GYS1	-100
GYS2	-100
HMGCR	-100
MFF	100
PIK3C3	100
BECN1	100
ATG9A	100
ULK1	100
CRTC2	-100
SREBF1	-100
CRY1	-100
HNF4A	-100
MLXIPL	-100
SLC2A1	100
SLC2A4	100
AMPK	100
PPARGC1A	100
ADIPOGENESIS	-100
FATTY_ACID_BIOSYNTHESIS	-100
GLYCOGEN_SYNTHESIS	-100
GLYCOLYSIS	-100
LIPOGENESIS	-100
PROLIFERATION	-100
PROTEIN_SYNTHESIS	-100
APOPTOSIS	100
AUTOPHAGY	100
CELL_DEATH	100
