gene_name	UNIPROT	difference	logpval	significant
AAAS	Q9NRG9;F8VZ44	-4.37892405192057	1.98928026902929	+
AACS	Q86V21;Q86V21-2;Q86V21-3	0.23862903333333332	NA	NA
AAGAB	Q6PD74	0.24644279666666669	NA	NA
AAK1	Q2M2I8-2;Q2M2I8;E9PG46	0.5775997783333333	NA	NA
AAMDC	Q9H7C9;E9PNP3;E9PR47;E9PIQ4	0.17798359000000002	NA	NA
AAMP	C9JG97;Q13685;C9JEH3;C9JTS3	0.2877788633333333	NA	NA
AAR2	Q9Y312;A2A2Q9	2.63922373453776	2.04256569292793	+
AARS1	P49588	0.2544886333333333	NA	NA
AARS2	Q5JTZ9	-3.1891499999999997	NA	NA
AARSD1	Q9BTE6;Q9BTE6-2	-0.9882965	NA	NA
AATF	Q9NY61	0.34307990666666666	NA	NA
ABAT	P80404	0.33878963333333334	NA	NA
ABCA2	Q9BZC7-2;Q9BZC7;Q9BZC7-3;H0Y8D6;H0Y8C9	0.8801136333333334	NA	NA
ABCA3	Q99758	0.180489545	NA	NA
ABCA3 variant protein	Q4LE27	0.180489545	NA	NA
ABCB10	Q9NRK6	-2.423681	NA	NA
ABCB6	Q9NP58-4;Q9NP58	-1.688963	NA	NA
ABCB7	O75027;O75027-2;B4DGL8	0.010309853333333336	NA	NA
ABCB8	Q9NUT2-2;Q9NUT2	-0.93239011	NA	NA
ABCC1	P33527;P33527-9;P33527-4;P33527-3;P33527-2;P33527-7;P33527-6;P33527-5;P33527-8	-0.0052572833333333424	NA	NA
ABCC3	O15438;O15438-2	0.7181148500000001	NA	NA
ABCC5	O15440	0.7551302666666667	NA	NA
ABCD1	P33897	-1.4461841333333334	NA	NA
ABCD3	P28288;P28288-2	-0.019519799999999993	NA	NA
ABCE1	P61221;D6R9I9	0.5156491333333333	NA	NA
ABCF1	Q8NE71;Q8NE71-2;H0YGW7	-0.10073596666666668	NA	NA
ABCF2	Q9UG63;C9JHK9;C9JZV3	0.2580604266666667	NA	NA
ABCF3	Q9NUQ8;Q9NUQ8-2	-2.7520463333333334	NA	NA
ABCG2	Q9UNQ0-2;Q9UNQ0	0.5190136666666667	NA	NA
ABHD10	Q9NUJ1	-0.39130656666666663	NA	NA
ABHD11	Q8NFV4;Q8NFV4-4	-0.788447062174479	1.99299540620717	+
ABHD12	Q8N2K0;Q8N2K0-2;Q8N2K0-3	-1.9984805666666667	NA	NA
ABHD14A-ACY1	C9JMV9	-0.6479206933333334	NA	NA
ABHD14B	Q96IU4;F8W9U3;B4DQI4	0.7079930333333333	NA	NA
ABHD16A	O95870	-1.36365954081217	1.80827086208057	+
ABHD17B	Q5VST6;Q5VST6-2	-0.7488634	NA	NA
ABHD17C	Q6PCB6;Q6PCB6-2	-0.6371384	NA	NA
ABHD2	P08910	1.8757196333333332	NA	NA
ABI1	Q8IZP0-3;Q8IZP0-5;Q8IZP0-9;Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-2;Q8IZP0-4;Q8IZP0-6;Q8IZP0	-0.8752906333333333	NA	NA
ABI2	Q9NYB9-2;E7EW77;E7EP65;Q9NYB9-4;Q9NYB9;E9PEZ7;Q9NYB9-3	-3.62881787618001	2.22179147330643	+
ABL1	P00519;P00519-2	0.09295636666666668	NA	NA
ABL2	P42684-7;P42684-5;P42684-6;P42684;P42684-4;P42684-10;P42684-2;P42684-3	0.7181465	NA	NA
ABR	Q12979-2;Q12979;B7Z683	0.19233066666666668	NA	NA
