gene_name	difference	logpval	significant
A4GALT	-0.4963227	NA	NA
AAAS	-0.85018269220988	2.39386950555721	+
AACS	-0.6911841333333333	NA	NA
AAED1	1.3261343666666667	NA	NA
AAGAB	0.5938689	NA	NA
AAMDC	0.5814601	NA	NA
AAMP	0.1239602	NA	NA
AAR2	-0.646435022354126	1.9406448279085	NA
AARS	0.045735976666666664	NA	NA
AARS2	-1.5603533333333333	NA	NA
AARSD1	-0.37185603333333334	NA	NA
AASDH	0.3788183666666667	NA	NA
AASDHPPT	-0.00146267811457316	0.00112625205497743	NA
AATF	-0.346759	NA	NA
AATK	-0.23368933666666666	NA	NA
ABAT	-0.9897157333333334	NA	NA
ABCA2	-0.3803515333333333	NA	NA
ABCA3	-1.0680423000000001	NA	NA
ABCB6	-0.5992526666666667	NA	NA
ABCB7	0.08056396666666667	NA	NA
ABCB8	-0.5504009	NA	NA
ABCB9	-1.2123526666666666	NA	NA
ABCC1	-0.3406968	NA	NA
ABCC10	-0.25881160000000003	NA	NA
ABCC3	-0.820328	NA	NA
ABCC4	-0.35285625	NA	NA
ABCC5	0.507893	NA	NA
ABCD4	-1.0520713666666666	NA	NA
ABCE1	0.16931733333333335	NA	NA
ABCF1	-0.16132237	NA	NA
ABCF2	-0.9595573666666667	NA	NA
ABCF3	-0.43979946666666664	NA	NA
ABCG1	0.9214325	NA	NA
ABHD10	0.3740393	NA	NA
ABHD11	-0.862079302469889	1.51006302330327	NA
ABHD12	0.056859490000000006	NA	NA
ABHD14A	-0.6296163333333333	NA	NA
ABHD14B	-0.2059173333333333	NA	NA
ABHD16A	-0.450424591700236	1.66793500083628	NA
ABHD17A	-0.09072659999999998	NA	NA
ABHD17C	0.22167461333333333	NA	NA
ABHD2	-0.6626803	NA	NA
ABHD3	0.7101299566666667	NA	NA
ABHD4	1.7760726666666666	NA	NA
ABHD5	0.28384163333333334	NA	NA
ABHD8	0.20851063333333333	NA	NA
ABI1	1.3575929666666666	NA	NA
ABI2	0.703097343444824	1.49894489045236	NA
ABL1	0.3168785	NA	NA
ABL2	0.3680116666666667	NA	NA
ABLIM1	-0.09733731133333334	NA	NA
ABLIM3	-0.7743485666666667	NA	NA
ABR	-1.4811666666666667	NA	NA
ABRACL	0.784676710764567	1.67542490472908	NA
ABT1	0.227312	NA	NA
ABTB1	0.10395899	NA	NA
ABTB2	0.8439483	NA	NA
ACAA1	-0.1456903	NA	NA
ACAA2	-0.03467035	NA	NA
ACACA	-0.3769840666666667	NA	NA
ACAD10	-1.1952536666666667	NA	NA
ACAD11	0.3775141	NA	NA
ACAD8	-0.7177383	NA	NA
ACAD9	-0.316085	NA	NA
ACADM	0.0641206666666667	NA	NA
ACADS	-0.14605490000000002	NA	NA
ACADVL	0.04663739	NA	NA
ACAP2	1.5064707333333334	NA	NA
ACAP3	-0.800095	NA	NA
ACAT1	0.500615	NA	NA
ACAT2	0.443336327870687	2.02578724372486	NA
ACBD3	1.5741766666666668	NA	NA
ACBD4	0.32455938866666667	NA	NA
ACBD5	1.689526	NA	NA
ACBD6	-0.029348850000000003	NA	NA
ACBD7	1.4782083666666668	NA	NA
ACCS	-0.9436705666666667	NA	NA
ACD	-0.16222446666666668	NA	NA
ACER3	-0.3368680116666667	NA	NA
ACHE	0.7697920666666667	NA	NA
ACIN1	-0.003410958666666662	NA	NA
ACKR3	-1.3172873333333333	NA	NA
ACLY	-0.11215367333333333	NA	NA
ACO1	-0.5951177666666667	NA	NA
ACO2	0.04059223333333333	NA	NA
ACOT1	0.2936820133333333	NA	NA
ACOT13	0.13913002666666668	NA	NA
ACOT2	-0.17795538333333333	NA	NA
ACOT4	0.35922466666666664	NA	NA
ACOT7	-0.40398073333333334	NA	NA
ACOT8	0.00931025333333334	NA	NA
ACOT9	-0.22025726666666667	NA	NA
ACOX1	0.9481453333333333	NA	NA
