gene_name	NES_corr_phospho_int_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_act	method_1	NES_corr_phospho_int_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_all	method_2	NES_corr_phospho_int_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_act	method_3	NES_corr_phospho_int_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_all	method_4	NES_corr_phospho_int_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_act	method_5	NES_corr_phospho_int_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_all	method_6	NES_corr_phospho_int_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_act	method_7	NES_corr_phospho_int_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_all	method_8	NES_corr_phospho_no_int_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_act	method_9	NES_corr_phospho_no_int_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_all	method_10	NES_corr_phospho_no_int_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_act	method_11	NES_corr_phospho_no_int_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_all	method_12	NES_corr_phospho_no_int_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_act	method_13	NES_corr_phospho_no_int_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_all	method_14	NES_corr_phospho_no_int_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_act	method_15	NES_corr_phospho_no_int_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_all	method_16	NES_no_corr_phospho_int_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_17	NES_no_corr_phospho_int_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_18	NES_no_corr_phospho_int_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_19	NES_no_corr_phospho_int_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_20	NES_no_corr_phospho_int_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_21	NES_no_corr_phospho_int_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_22	NES_no_corr_phospho_int_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_23	NES_no_corr_phospho_int_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_24	NES_no_corr_phospho_no_int_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_25	NES_no_corr_phospho_no_int_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_26	NES_no_corr_phospho_no_int_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_27	NES_no_corr_phospho_no_int_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_28	NES_no_corr_phospho_no_int_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_29	NES_no_corr_phospho_no_int_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_30	NES_no_corr_phospho_no_int_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_31	NES_no_corr_phospho_no_int_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_32
AKT1	-2.6444930869478225	VIPER	-2.6444930869478225	VIPER	NA	NA	NA	NA	-1.1449139437002702	VIPER	-1.1449139437002702	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.8079965018969094	VIPER+PhosphoScore	-0.8178748194119669	VIPER+PhosphoScore	1.76028696695964	PhosphoScore	1.7405303319295249	PhosphoScore	0.06858091933471733	VIPER+PhosphoScore	0.058702601819659805	VIPER+PhosphoScore	1.76028696695964	PhosphoScore	1.7405303319295249	PhosphoScore	1.76028696695964	PhosphoScore	1.7405303319295249	PhosphoScore	1.76028696695964	PhosphoScore	1.7405303319295249	PhosphoScore	1.76028696695964	PhosphoScore	1.7405303319295249	PhosphoScore	1.76028696695964	PhosphoScore	1.7405303319295249	PhosphoScore
AURKA	-2.6473456583156154	VIPER	-2.6473456583156154	VIPER	-2.6473456583156154	VIPER	-2.6473456583156154	VIPER	-2.1371729905017443	VIPER	-2.1371729905017443	VIPER	-2.1371729905017443	VIPER	-2.1371729905017443	VIPER	-2.6897008676120366	VIPER	-2.6897008676120366	VIPER	-2.6897008676120366	VIPER	-2.6897008676120366	VIPER	-2.1371729905017443	VIPER	-2.1371729905017443	VIPER	-2.1371729905017443	VIPER	-2.1371729905017443	VIPER	-2.8586114300306864	VIPER	-2.8586114300306864	VIPER	-2.8586114300306864	VIPER	-2.8586114300306864	VIPER	-2.2936370059590856	VIPER	-2.2936370059590856	VIPER	-2.2936370059590856	VIPER	-2.2936370059590856	VIPER	-3.1707806140068753	VIPER	-3.1707806140068753	VIPER	-3.1707806140068753	VIPER	-3.1707806140068753	VIPER	-2.2936370059590856	VIPER	-2.2936370059590856	VIPER	-2.2936370059590856	VIPER	-2.2936370059590856	VIPER
BRSK2	7.233064734120283	VIPER	7.233064734120283	VIPER	7.233064734120283	VIPER	7.233064734120283	VIPER	3.1370319709253196	VIPER	3.1370319709253196	VIPER	3.1370319709253196	VIPER	3.1370319709253196	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.768601129481851	VIPER	5.768601129481851	VIPER	5.768601129481851	VIPER	5.768601129481851	VIPER	2.9975730270245604	VIPER	2.9975730270245604	VIPER	2.9975730270245604	VIPER	2.9975730270245604	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAMK2G	-3.991924862274359	VIPER	-3.991924862274359	VIPER	-3.991924862274359	VIPER	-3.991924862274359	VIPER	-2.5054809700254004	VIPER	-2.5054809700254004	VIPER	-2.5054809700254004	VIPER	-2.5054809700254004	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.3379915733463985	VIPER	-2.3379915733463985	VIPER	-2.3379915733463985	VIPER	-2.3379915733463985	VIPER	-2.1209017552879073	VIPER	-2.1209017552879073	VIPER	-2.1209017552879073	VIPER	-2.1209017552879073	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDK11B	-16.84581527492671	VIPER	-16.84581527492671	VIPER	-16.84581527492671	VIPER	-16.84581527492671	VIPER	-4.278833387158751	VIPER	-4.278833387158751	VIPER	-4.278833387158751	VIPER	-4.278833387158751	VIPER	-17.115333548635004	VIPER	-17.115333548635004	VIPER	-17.115333548635004	VIPER	-17.115333548635004	VIPER	-4.278833387158751	VIPER	-4.278833387158751	VIPER	-4.278833387158751	VIPER	-4.278833387158751	VIPER	-9.539858503216696	VIPER	-9.539858503216696	VIPER	-9.539858503216696	VIPER	-9.539858503216696	VIPER	-3.613226026219695	VIPER	-3.613226026219695	VIPER	-3.613226026219695	VIPER	-3.613226026219695	VIPER	-4.620283185306042	VIPER	-4.620283185306042	VIPER	-4.620283185306042	VIPER	-4.620283185306042	VIPER	-2.6504776332669566	VIPER	-2.6504776332669566	VIPER	-2.6504776332669566	VIPER	-2.6504776332669566	VIPER
CHUK	2.3887757402107437	VIPER	2.3887757402107437	VIPER	2.3887757402107437	VIPER	2.3887757402107437	VIPER	2.052779964028615	VIPER	2.052779964028615	VIPER	2.052779964028615	VIPER	2.052779964028615	VIPER	2.426994057535884	VIPER	2.426994057535884	VIPER	2.426994057535884	VIPER	2.426994057535884	VIPER	2.052779964028615	VIPER	2.052779964028615	VIPER	2.052779964028615	VIPER	2.052779964028615	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUSP8	7.34124438373146	VIPER	7.34124438373146	VIPER	7.34124438373146	VIPER	7.34124438373146	VIPER	3.154459467327624	VIPER	3.154459467327624	VIPER	3.154459467327624	VIPER	3.154459467327624	VIPER	7.458697856946196	VIPER	7.458697856946196	VIPER	7.458697856946196	VIPER	7.458697856946196	VIPER	3.154459467327624	VIPER	3.154459467327624	VIPER	3.154459467327624	VIPER	3.154459467327624	VIPER	3.095923696383947	VIPER	3.095923696383947	VIPER	3.095923696383947	VIPER	3.095923696383947	VIPER	2.3654922769059423	VIPER	2.3654922769059423	VIPER	2.3654922769059423	VIPER	2.3654922769059423	VIPER	3.4340081117052517	VIPER	3.4340081117052517	VIPER	3.4340081117052517	VIPER	3.4340081117052517	VIPER	2.3654922769059423	VIPER	2.3654922769059423	VIPER	2.3654922769059423	VIPER	2.3654922769059423	VIPER
GRK2	-2.912162426675773	VIPER	-2.912162426675773	VIPER	-2.912162426675773	VIPER	-2.912162426675773	VIPER	-2.218151876445716	VIPER	-2.218151876445716	VIPER	-2.218151876445716	VIPER	-2.218151876445716	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRK3	-2.628358416832605	VIPER	-2.628358416832605	VIPER	-2.628358416832605	VIPER	-2.628358416832605	VIPER	-2.131165361463927	VIPER	-2.131165361463927	VIPER	-2.131165361463927	VIPER	-2.131165361463927	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRK4	-5.39855576088728	VIPER	-5.39855576088728	VIPER	-5.39855576088728	VIPER	-5.39855576088728	VIPER	-2.8105713327000172	VIPER	-2.8105713327000172	VIPER	-2.8105713327000172	VIPER	-2.8105713327000172	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
