gene_name	NES_Doro_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_act	method_1	NES_Doro_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_all	method_2	NES_Doro_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_3	NES_Doro_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_4	NES_Doro_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_act	method_5	NES_Doro_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_all	method_6	NES_Doro_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_7	NES_Doro_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_8	NES_Doro_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_act	method_9	NES_Doro_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_all	method_10	NES_Doro_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_11	NES_Doro_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_12	NES_Doro_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_act	method_13	NES_Doro_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_all	method_14	NES_Doro_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_15	NES_Doro_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_16	NES_DoroSign_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_act	method_17	NES_DoroSign_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_all	method_18	NES_DoroSign_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_19	NES_DoroSign_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_20	NES_DoroSign_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_act	method_21	NES_DoroSign_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_all	method_22	NES_DoroSign_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_23	NES_DoroSign_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_24	NES_DoroSign_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_act	method_25	NES_DoroSign_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_all	method_26	NES_DoroSign_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_27	NES_DoroSign_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_28	NES_DoroSign_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_act	method_29	NES_DoroSign_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_all	method_30	NES_DoroSign_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_31	NES_DoroSign_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_32	NES_Coll_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_act	method_33	NES_Coll_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_all	method_34	NES_Coll_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_35	NES_Coll_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_36	NES_Coll_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_act	method_37	NES_Coll_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_all	method_38	NES_Coll_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_39	NES_Coll_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_40	NES_Coll_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_act	method_41	NES_Coll_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_all	method_42	NES_Coll_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_43	NES_Coll_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_44	NES_Coll_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_act	method_45	NES_Coll_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_all	method_46	NES_Coll_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_47	NES_Coll_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_48	NES_CollSign_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_act	method_49	NES_CollSign_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_all	method_50	NES_CollSign_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_51	NES_CollSign_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_52	NES_CollSign_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_act	method_53	NES_CollSign_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_all	method_54	NES_CollSign_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_55	NES_CollSign_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_56	NES_CollSign_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_act	method_57	NES_CollSign_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_all	method_58	NES_CollSign_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_59	NES_CollSign_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_60	NES_CollSign_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_act	method_61	NES_CollSign_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_all	method_62	NES_CollSign_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_63	NES_CollSign_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_64
ATF2	1.2080255783653513	VIPER	1.2080255783653513	VIPER	1.2080255783653513	VIPER	1.4271580197938407	VIPER+PhosphoScore	1.2080255783653513	VIPER	1.2080255783653513	VIPER	1.2080255783653513	VIPER	1.4271580197938407	VIPER+PhosphoScore	1.9676861404568804	VIPER	1.9676861404568804	VIPER	1.9676861404568804	VIPER	1.8069883008396053	VIPER+PhosphoScore	1.9676861404568804	VIPER	1.9676861404568804	VIPER	1.9676861404568804	VIPER	1.8069883008396053	VIPER+PhosphoScore	4.482678199860874	VIPER	4.482678199860874	VIPER	4.482678199860874	VIPER	3.064484330541602	VIPER+PhosphoScore	4.482678199860874	VIPER	4.482678199860874	VIPER	4.482678199860874	VIPER	3.064484330541602	VIPER+PhosphoScore	2.792764091728284	VIPER	2.792764091728284	VIPER	2.792764091728284	VIPER	2.219527276475307	VIPER+PhosphoScore	2.792764091728284	VIPER	2.792764091728284	VIPER	2.792764091728284	VIPER	2.219527276475307	VIPER+PhosphoScore	1.9756305637257896	VIPER	1.9756305637257896	VIPER	1.9756305637257896	VIPER	1.8109605124740598	VIPER+PhosphoScore	1.9756305637257896	VIPER	1.9756305637257896	VIPER	1.9756305637257896	VIPER	1.8109605124740598	VIPER+PhosphoScore	1.9938430633263649	VIPER	1.9938430633263649	VIPER	1.9938430633263649	VIPER	1.8200667622743474	VIPER+PhosphoScore	1.9938430633263649	VIPER	1.9938430633263649	VIPER	1.9938430633263649	VIPER	1.8200667622743474	VIPER+PhosphoScore	3.3407463277065235	VIPER	3.3407463277065235	VIPER	3.3407463277065235	VIPER	2.493518394464427	VIPER+PhosphoScore	3.3407463277065235	VIPER	3.3407463277065235	VIPER	3.3407463277065235	VIPER	2.493518394464427	VIPER+PhosphoScore	2.356379279408535	VIPER	2.356379279408535	VIPER	2.356379279408535	VIPER	2.0013348703154326	VIPER+PhosphoScore	2.356379279408535	VIPER	2.356379279408535	VIPER	2.356379279408535	VIPER	2.0013348703154326	VIPER+PhosphoScore
ATF4	23.73392377741724	VIPER	23.73392377741724	VIPER	23.73392377741724	VIPER	23.73392377741724	VIPER	23.73392377741724	VIPER	23.73392377741724	VIPER	23.73392377741724	VIPER	23.73392377741724	VIPER	5.933480944354311	VIPER	5.933480944354311	VIPER	5.933480944354311	VIPER	5.933480944354311	VIPER	5.933480944354311	VIPER	5.933480944354311	VIPER	5.933480944354311	VIPER	5.933480944354311	VIPER	6.3114593597898985	VIPER	6.3114593597898985	VIPER	6.3114593597898985	VIPER	6.3114593597898985	VIPER	6.3114593597898985	VIPER	6.3114593597898985	VIPER	6.3114593597898985	VIPER	6.3114593597898985	VIPER	3.1756622939174344	VIPER	3.1756622939174344	VIPER	3.1756622939174344	VIPER	3.1756622939174344	VIPER	3.1756622939174344	VIPER	3.1756622939174344	VIPER	3.1756622939174344	VIPER	3.1756622939174344	VIPER	2.049105179357232	VIPER	2.049105179357232	VIPER	2.049105179357232	VIPER	2.049105179357232	VIPER	2.049105179357232	VIPER	2.049105179357232	VIPER	2.049105179357232	VIPER	2.049105179357232	VIPER	2.0227441161965576	VIPER	2.0227441161965576	VIPER	2.0227441161965576	VIPER	2.0227441161965576	VIPER	2.0227441161965576	VIPER	2.0227441161965576	VIPER	2.0227441161965576	VIPER	2.0227441161965576	VIPER	5.888049197238675	VIPER	5.888049197238675	VIPER	5.888049197238675	VIPER	5.888049197238675	VIPER	5.888049197238675	VIPER	5.888049197238675	VIPER	5.888049197238675	VIPER	5.888049197238675	VIPER	2.924575562726819	VIPER	2.924575562726819	VIPER	2.924575562726819	VIPER	2.924575562726819	VIPER	2.924575562726819	VIPER	2.924575562726819	VIPER	2.924575562726819	VIPER	2.924575562726819	VIPER
ATF6	1.2999410518274008	VIPER	1.2999410518274008	VIPER	1.2999410518274008	VIPER	1.2999410518274008	VIPER	1.2999410518274008	VIPER	1.2999410518274008	VIPER	1.2999410518274008	VIPER	1.2999410518274008	VIPER	2.025427527259478	VIPER	2.025427527259478	VIPER	2.025427527259478	VIPER	2.025427527259478	VIPER	2.025427527259478	VIPER	2.025427527259478	VIPER	2.025427527259478	VIPER	2.025427527259478	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ESR1	-1.4928556834761282	VIPER	-1.4928556834761282	VIPER	-1.4928556834761282	VIPER	-1.4928556834761282	VIPER	-1.4928556834761282	VIPER	-1.4928556834761282	VIPER	-1.4928556834761282	VIPER	-1.4928556834761282	VIPER	-2.13842066149017	VIPER	-2.13842066149017	VIPER	-2.13842066149017	VIPER	-2.13842066149017	VIPER	-2.13842066149017	VIPER	-2.13842066149017	VIPER	-2.13842066149017	VIPER	-2.13842066149017	VIPER	-3.2362985788761165	VIPER	-3.2362985788761165	VIPER	-3.2362985788761165	VIPER	-3.2362985788761165	VIPER	-3.2362985788761165	VIPER	-3.2362985788761165	VIPER	-3.2362985788761165	VIPER	-3.2362985788761165	VIPER	-2.4666221829049912	VIPER	-2.4666221829049912	VIPER	-2.4666221829049912	VIPER	-2.4666221829049912	VIPER	-2.4666221829049912	VIPER	-2.4666221829049912	VIPER	-2.4666221829049912	VIPER	-2.4666221829049912	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOXM1	1.3182489463477007	VIPER	1.3182489463477007	VIPER	1.3182489463477007	VIPER	1.3182489463477007	VIPER	1.3182489463477007	VIPER	1.3182489463477007	VIPER	1.3182489463477007	VIPER	1.3182489463477007	VIPER	2.0366059136938115	VIPER	2.0366059136938115	VIPER	2.0366059136938115	VIPER	2.0366059136938115	VIPER	2.0366059136938115	VIPER	2.0366059136938115	VIPER	2.0366059136938115	VIPER	2.0366059136938115	VIPER	1.970735892477012	VIPER	1.970735892477012	VIPER	1.970735892477012	VIPER	1.970735892477012	VIPER	1.970735892477012	VIPER	1.970735892477012	VIPER	1.970735892477012	VIPER	1.970735892477012	VIPER	2.0340822622662924	VIPER	2.0340822622662924	VIPER	2.0340822622662924	VIPER	2.0340822622662924	VIPER	2.0340822622662924	VIPER	2.0340822622662924	VIPER	2.0340822622662924	VIPER	2.0340822622662924	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOXO1	2.8012814830676964	VIPER	2.8012814830676964	VIPER	2.8012814830676964	VIPER	2.8012814830676964	VIPER	2.8012814830676964	VIPER	2.8012814830676964	VIPER	2.8012814830676964	VIPER	2.8012814830676964	VIPER	2.7249370935592045	VIPER	2.7249370935592045	VIPER	2.7249370935592045	VIPER	2.7249370935592045	VIPER	2.7249370935592045	VIPER	2.7249370935592045	VIPER	2.7249370935592045	VIPER	2.7249370935592045	VIPER	6.053838848228895	VIPER	6.053838848228895	VIPER	6.053838848228895	VIPER	6.053838848228895	VIPER	6.053838848228895	VIPER	6.053838848228895	VIPER	6.053838848228895	VIPER	6.053838848228895	VIPER	3.12666577268053	VIPER	3.12666577268053	VIPER	3.12666577268053	VIPER	3.12666577268053	VIPER	3.12666577268053	VIPER	3.12666577268053	VIPER	3.12666577268053	VIPER	3.12666577268053	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOXO3	9.267063092440983	VIPER	9.267063092440983	VIPER	9.267063092440983	VIPER	9.267063092440983	VIPER	9.267063092440983	VIPER	9.267063092440983	VIPER	9.267063092440983	VIPER	9.267063092440983	VIPER	4.242966406238921	VIPER	4.242966406238921	VIPER	4.242966406238921	VIPER	4.242966406238921	VIPER	4.242966406238921	VIPER	4.242966406238921	VIPER	4.242966406238921	VIPER	4.242966406238921	VIPER	14.719854505329948	VIPER	14.719854505329948	VIPER	14.719854505329948	VIPER	14.719854505329948	VIPER	14.719854505329948	VIPER	14.719854505329948	VIPER	14.719854505329948	VIPER	14.719854505329948	VIPER	4.33203157679469	VIPER	4.33203157679469	VIPER	4.33203157679469	VIPER	4.33203157679469	VIPER	4.33203157679469	VIPER	4.33203157679469	VIPER	4.33203157679469	VIPER	4.33203157679469	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8715901468321947	VIPER	2.8715901468321947	VIPER	2.8715901468321947	VIPER	2.8715901468321947	VIPER	2.8715901468321947	VIPER	2.8715901468321947	VIPER	2.8715901468321947	VIPER	2.8715901468321947	VIPER	2.222121625704437	VIPER	2.222121625704437	VIPER	2.222121625704437	VIPER	2.222121625704437	VIPER	2.222121625704437	VIPER	2.222121625704437	VIPER	2.222121625704437	VIPER	2.222121625704437	VIPER
HIF1A	-1.6361217851441283	VIPER	-1.6361217851441283	VIPER	-1.6361217851441283	VIPER	-1.6361217851441283	VIPER	-1.6361217851441283	VIPER	-1.6361217851441283	VIPER	-1.6361217851441283	VIPER	-1.6361217851441283	VIPER	-2.2162466157872434	VIPER	-2.2162466157872434	VIPER	-2.2162466157872434	VIPER	-2.2162466157872434	VIPER	-2.2162466157872434	VIPER	-2.2162466157872434	VIPER	-2.2162466157872434	VIPER	-2.2162466157872434	VIPER	-2.416579615914204	VIPER	-2.416579615914204	VIPER	-2.416579615914204	VIPER	-2.416579615914204	VIPER	-2.416579615914204	VIPER	-2.416579615914204	VIPER	-2.416579615914204	VIPER	-2.416579615914204	VIPER	-2.203143392140887	VIPER	-2.203143392140887	VIPER	-2.203143392140887	VIPER	-2.203143392140887	VIPER	-2.203143392140887	VIPER	-2.203143392140887	VIPER	-2.203143392140887	VIPER	-2.203143392140887	VIPER	-7.481912392693226	VIPER	-7.481912392693226	VIPER	-7.481912392693226	VIPER	-7.481912392693226	VIPER	-7.481912392693226	VIPER	-7.481912392693226	VIPER	-7.481912392693226	VIPER	-7.481912392693226	VIPER	-3.3167922466894906	VIPER	-3.3167922466894906	VIPER	-3.3167922466894906	VIPER	-3.3167922466894906	VIPER	-3.3167922466894906	VIPER	-3.3167922466894906	VIPER	-3.3167922466894906	VIPER	-3.3167922466894906	VIPER	-8.255294761119517	VIPER	-8.255294761119517	VIPER	-8.255294761119517	VIPER	-8.255294761119517	VIPER	-8.255294761119517	VIPER	-8.255294761119517	VIPER	-8.255294761119517	VIPER	-8.255294761119517	VIPER	-3.318125805519259	VIPER	-3.318125805519259	VIPER	-3.318125805519259	VIPER	-3.318125805519259	VIPER	-3.318125805519259	VIPER	-3.318125805519259	VIPER	-3.318125805519259	VIPER	-3.318125805519259	VIPER
MYCN	-4.661449046530065	VIPER	-4.661449046530065	VIPER	-4.661449046530065	VIPER	-4.661449046530065	VIPER	-4.661449046530065	VIPER	-4.661449046530065	VIPER	-4.661449046530065	VIPER	-4.661449046530065	VIPER	-3.2987349073090355	VIPER	-3.2987349073090355	VIPER	-3.2987349073090355	VIPER	-3.2987349073090355	VIPER	-3.2987349073090355	VIPER	-3.2987349073090355	VIPER	-3.2987349073090355	VIPER	-3.2987349073090355	VIPER	-6.482375100030978	VIPER	-6.482375100030978	VIPER	-6.482375100030978	VIPER	-6.482375100030978	VIPER	-6.482375100030978	VIPER	-6.482375100030978	VIPER	-6.482375100030978	VIPER	-6.482375100030978	VIPER	-3.2074345700273033	VIPER	-3.2074345700273033	VIPER	-3.2074345700273033	VIPER	-3.2074345700273033	VIPER	-3.2074345700273033	VIPER	-3.2074345700273033	VIPER	-3.2074345700273033	VIPER	-3.2074345700273033	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SREBF1	4.813049643729093	VIPER	4.813049643729093	VIPER	4.813049643729093	VIPER	4.813049643729093	VIPER	4.813049643729093	VIPER	4.813049643729093	VIPER	4.813049643729093	VIPER	4.813049643729093	VIPER	3.3381333727412277	VIPER	3.3381333727412277	VIPER	3.3381333727412277	VIPER	3.3381333727412277	VIPER	3.3381333727412277	VIPER	3.3381333727412277	VIPER	3.3381333727412277	VIPER	3.3381333727412277	VIPER	6.013407060447516	VIPER	6.013407060447516	VIPER	6.013407060447516	VIPER	6.013407060447516	VIPER	6.013407060447516	VIPER	6.013407060447516	VIPER	6.013407060447516	VIPER	6.013407060447516	VIPER	3.1188502077919624	VIPER	3.1188502077919624	VIPER	3.1188502077919624	VIPER	3.1188502077919624	VIPER	3.1188502077919624	VIPER	3.1188502077919624	VIPER	3.1188502077919624	VIPER	3.1188502077919624	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.313190330015049	VIPER	2.313190330015049	VIPER	2.313190330015049	VIPER	2.313190330015049	VIPER	2.313190330015049	VIPER	2.313190330015049	VIPER	2.313190330015049	VIPER	2.313190330015049	VIPER	2.0418910956294147	VIPER	2.0418910956294147	VIPER	2.0418910956294147	VIPER	2.0418910956294147	VIPER	2.0418910956294147	VIPER	2.0418910956294147	VIPER	2.0418910956294147	VIPER	2.0418910956294147	VIPER
