gene_name	NES	pvalues	UNIPROT	mf
AURKA	-2.2936370059590856	0.021811357905874386	O14965	kin
BRSK2	2.9975730270245604	0.002721386498482873	Q8IWQ3	kin
CAMK2G	-2.1209017552879073	0.0339300709297621	Q13555	kin
CAMK4	2.026115643189985	0.04275293541251131	Q16566	kin
CDK11B	-3.613226026219695	3.0241086913229394e-4	P211272;P21127	kin
CDK14	-2.408999387642369	0.015996324818124952	O94921	kin
CDK20	-3.201027315902188	0.0013693854959976133	Q8IZL9	kin
DUSP8	2.3654922769059423	0.018006118844885066	Q13202	phos
GRK5	-2.1822824259005094	0.029088695218629924	P34947	kin
GRK6	-2.8650383444236116	0.004169587499260036	P43250	kin
HIPK3	-2.5039169401727954	0.01228268651860441	Q9H422	kin
HIPK4	-2.297140777036415	0.021610740253922907	Q8NE63	kin
IRAK1	2.7260687096230116	0.006409365455546141	P51617	kin
MAP3K13	-2.929756907601433	0.0033922726812882884	O43283	kin
MARK1	3.4942776170819685	4.7534644093665803e-4	Q9P0L2	kin
MARK2	4.242924181659105	2.2062598985978154e-5	Q7KZI7	kin
MARK3	2.8831382456749926	0.0039373460064715746	P27448;P27448	kin
MARK4	3.6564684833967194	2.557138342835953e-4	Q96L34	kin
MASTL	2.252559587877846	0.024286931603229044	Q96GX5	kin
NEK9	2.3960780357962905	0.01657156181186181	Q8TD19	kin
NLK	-2.416199317752885	0.015683473567662243	Q9UBE8	kin
NUAK1	2.1152604715378134	0.03440775348548357	O60285	kin
PAK1	-2.6471103590488387	0.00811828546611302	Q13153	kin
PAK2	-3.594600144930355	3.248901610163753e-4	Q13177	kin
PAK3	-3.1726698366968007	0.0015104418613253938	O75914	kin
PAK4	-4.020516386246851	5.8070709645339147e-5	O96013	kin
PAK5	-2.3462003107986558	0.018965911568676927	Q9P286	kin
PAK6	-3.142040775079472	0.0016777466935587093	Q9NQU5	kin
PINK1	-2.065457281287434	0.03887975351703372	Q9BXM7	kin
PLK4	2.0239026887592386	0.04298016524134726	O00444	kin
PRKAB1	2.4900967287127416	0.01277083329942714	Q9Y478	kin
PRKAG1	2.2552131493514214	0.024119952957883925	P54619	kin
PRKAG3	2.2550119040145304	0.024132581596559337	Q9UGI9	kin
PRKDC	3.9129743397152033	9.116622541273107e-5	P78527	kin
SLK	-2.6486564460988755	0.00808124360985624	Q9H2G2	kin
STK33	-2.7190716611108274	0.006546542339814654	Q9BYT3	kin
TSSK2	3.2653742289993932	0.0010931954130184414	Q96PF2	kin
TTBK1	2.7356570966527505	0.006225586216901232	Q5TCY1	kin
ULK1	2.723748293558354	0.0064545677887286506	O75385	kin
VRK1	2.642962995759049	0.008218401664155153	Q99986	kin
