gene_name	NES	pvalues	UNIPROT	mf
ATM	2.8173312546453895	0.0048424553315861525	Q13315	kin
ATR	2.9456183764999975	0.0032230978990590337	Q13535	kin
AURKA	-2.2936370059590856	0.021811357905874386	O14965	kin
CDK10	-3.5561486615277405	3.763311799189714e-4	Q15131	kin
CDK11B	-2.6504776332669566	0.00803780491684228	P211272;P21127	kin
CDK17	-3.5561486615277405	3.763311799189714e-4	Q00537	kin
CDK18	-2.8547633454527825	0.004306890853871355	Q07002	kin
CDK19	-2.6504776332669566	0.00803780491684228	Q9BWU1	kin
CDK4	-3.4253221412451795	6.140708461049452e-4	P11802	kin
CDK6	-2.636699236528666	0.00837170216360187	Q00534	kin
CDK8	-3.5561486615277405	3.763311799189714e-4	P49336	kin
DUSP8	2.3654922769059423	0.018006118844885066	Q13202	phos
MAP3K13	-2.929756907601433	0.0033922726812882884	O43283	kin
PAK2	-1.96745103491476	0.0491312356480776	Q13177	kin
PRKAB1	3.005259449947242	0.002653543958050435	Q9Y478	kin
PRKAG1	2.3105426284008193	0.020858131336634885	P54619	kin
PRKAG2	2.4520049405696906	0.014206271138648247	Q9UGJ0	kin
PRKAG3	2.3105426284008193	0.020858131336634885	Q9UGI9	kin
PRKDC	4.320087451075019	1.5596737997769145e-5	P78527	kin
RPS6KA3	2.4010471258111545	0.016348230958975637	P51812	kin
