UNIPROT	gene_name	phosphoscore_corr_phospho_act	mf.x	phosphoscore_corr_phospho_all	mf.y	phosphoscore_no_corr_phospho_act	mf.x.x	phosphoscore_no_corr_phospho_all	mf.y.y
Q13085	ACACA	-1.14508284771504	other	NA	NA	-0.562421162923176	other	NA	NA
Q09666	AHNAK	0.02525334857443103	other	NA	NA	0.620587666829426	other	NA	NA
P31749	AKT1	1.2069087362534006	kin	1.1871521012232855	kin	1.76028696695964	kin	1.7405303319295249	kin
Q92974;Q92974	ARHGEF2	-0.7156356708819802	other	-0.7156356708819802	other	-1.29699897766113	other	-1.29699897766113	other
Q14155;Q14155	ARHGEF7	0.8419662576839235	other	NA	NA	1.40083948771159	other	NA	NA
Q7Z3C6	ATG9A	1.71301515164581	other	NA	NA	2.18579610188802	other	NA	NA
O95999	BCL10	5.3319407799357705	tf	5.3319407799357705	tf	6.0370356241862	tf	6.0370356241862	tf
P15056	BRAF	-1.6677760811805964	kin	-1.6677760811805964	kin	-2.26320266723633	kin	-2.26320266723633	kin
Q01518	CAP1	2.18915151603061	other	2.18915151603061	other	2.78473981221517	other	2.78473981221517	other
Q9Y2V2	CARHSP1	0.8056076456084276	other	NA	NA	1.40806643168131	other	NA	NA
P30281	CCND3	-1.239857316692487	kin	NA	NA	-1.79148101806641	kin	NA	NA
O43303	CCP110	1.9651808064239469	other	NA	NA	1.37670962015788	other	NA	NA
Q96FF9	CDCA5	-1.8496264552044095	other	-1.8496264552044095	other	-2.41651725769043	other	-2.41651725769043	other
P06493	CDK1	-0.9152486067442558	kin	-0.9152486067442558	kin	-1.5062567392985	kin	-1.5062567392985	kin
Q9NYV4	CDK12	3.702784373034589	kin	3.702784373034589	kin	4.26355425516764	kin	4.26355425516764	kin
P46527	CDKN1B	0.4379742126693997	other	NA	NA	1.0403200785319	other	NA	NA
Q96RK0	CIC	-0.49632440652634663	tf	NA	NA	-1.11285654703776	tf	NA	NA
P30622;P30622	CLIP1	0.7972293028237112	other	NA	NA	1.39748382568359	other	NA	NA
Q53ET0	CRTC2	-1.7185529632044587	other	NA	NA	-2.26232973734538	other	NA	NA
P35222	CTNNB1	0.4829047160293825	tf	NA	NA	1.0601495107015	tf	NA	NA
Q9H3Z4	DNAJC5	0.7235560775195482	other	NA	NA	1.31720415751139	other	NA	NA
Q05193	DNM1	0.10737218985380814	other	NA	NA	0.689147313435871	other	NA	NA
Q16555;NP_001184222	DPYSL2	-1.7372526527183914	other	NA	NA	-2.31884702046712	other	NA	NA
O00418	EEF2K	-0.23104753817886128	kin	NA	NA	-0.832880020141602	kin	NA	NA
Q13541	EIF4EBP1	3.4708344523820824	other	NA	NA	2.85811424255371	other	NA	NA
Q09472	EP300	-0.35090887395279635	tf	NA	NA	-0.940320332845051	tf	NA	NA
P42566	EPS15	1.1451112222379902	other	NA	NA	1.72850608825684	other	NA	NA
Q8NFG4	FLCN	-0.68614080966761	other	-0.68614080966761	other	-1.29585965474447	other	-1.29585965474447	other
P35269	GTF2F1	-0.4987163907105064	other	-0.4987163907105064	other	-1.106083552042644	other	-1.106083552042644	other
O60381	HBP1	0.41396648817741694	tf	NA	NA	1.02759615580241	tf	NA	NA
P17096	HMGA1	1.5856001119067156	tf	NA	NA	1.00640805562337	tf	NA	NA
P05114	HMGN1	-1.3832061962585636	other	NA	NA	-1.97638702392578	other	NA	NA
P31943	HNRNPH1	0.4667040462943657	other	NA	NA	1.00430425008138	other	NA	NA
Q00613	HSF1	-3.03746962026251	tf	-3.03746962026251	tf	-3.229676988389759	tf	-3.229676988389759	tf
P07900	HSP90AA1	0.2460537183903695	other	NA	NA	0.838439941406246	other	NA	NA
P35568	IRS1	-0.788125738464326	other	-1.112384966640866	other	-1.313080045912	other	-1.63733927408854	other
P16144	ITGB4	1.058355555099463	other	NA	NA	0.521881103515625	other	NA	NA
P17275	JUNB	-1.2829821124962166	tf	NA	NA	-1.90773518880208	tf	NA	NA
P17535	JUND	1.0758921957773784	tf	NA	NA	1.67304229736328	tf	NA	NA
Q92993	KAT5	-0.21073027982250048	tf	-0.21073027982250048	tf	0.357889811197914	tf	0.357889811197914	tf
O95251	KAT7	-3.415144509190135	other	NA	NA	-2.83753649393718	other	NA	NA
Q9NQT8	KIF13B	-0.5799805108617384	other	NA	NA	-1.14316940307617	other	NA	NA
Q9H0B6	KLC2	0.8699054567886171	other	NA	NA	1.45968373616536	other	NA	NA
Q9UHB6	LIMA1	-0.02007978672983728	other	NA	NA	-0.644186019897461	other	NA	NA
P11137	MAP2	3.945678412578584	other	NA	NA	3.38684272766113	other	NA	NA
Q99759	MAP3K3	-1.4973443670775448	kin	NA	NA	-2.14999008178711	kin	NA	NA
P27816	MAP4	-2.76564818736752	other	NA	NA	-3.3588424258761935	other	NA	NA
Q16539	MAPK14	1.6382076565523778	kin	1.6382076565523778	kin	2.191669464111325	kin	2.191669464111325	kin
P10636;P10636	MAPT	-0.7919417204047619	other	NA	NA	-1.389989640977646	other	NA	NA
P29966	MARCKS	0.397531672225238	other	NA	NA	0.996993382771809	other	NA	NA
P61244;P61244	MAX	-0.39321996801690134	tf	-0.39321996801690134	tf	-0.985356648763023	tf	-0.985356648763023	tf
P49736	MCM2	0.4101680848677473	other	0.3192981813032953	other	0.966439565022788	other	0.875569661458336	other
Q14676	MDC1	-3.4830966602722415	other	NA	NA	-2.9138117896186	other	NA	NA
P51608	MECP2	1.262748494312757	tf	NA	NA	1.85615030924479	tf	NA	NA
O95544	NADK	0.01493587704328781	kin	0.01493587704328781	kin	0.622409820556641	kin	0.622409820556641	kin
Q9Y6Q9	NCOA3	1.0217873055099806	tf	NA	NA	1.61048444112142	tf	NA	NA
Q9UN36	NDRG2	2.538190589140303	other	NA	NA	3.11269728342692	other	NA	NA
Q12968	NFATC3	-0.3510624146197408	tf	NA	NA	-0.94006665547689	tf	NA	NA
P19838	NFKB1	0.48633366666964656	tf	NA	NA	1.05961990356445	tf	NA	NA
O14745	NHERF1	-0.23408595349466288	other	NA	NA	-0.793943405151371	other	NA	NA
Q9BYG3	NIFK	0.41843934186295406	other	NA	NA	1.00376383463542	other	NA	NA
Q14978	NOLC1	0.7123835845097339	other	NA	NA	1.28870328267416	other	NA	NA
Q9UKX7	NUP50	-2.5359816411385503	other	NA	NA	-3.13108762105306	other	NA	NA
P52948	NUP98	-3.127265186995027	tf	NA	NA	-3.71940803527832	tf	NA	NA
O95453	PARN	-0.4511506849348452	other	NA	NA	-1.03930981953939	other	NA	NA
Q53EL6	PDCD4	-0.4358491436873436	other	NA	NA	-1.0443299611409504	other	NA	NA
O60825	PFKFB2	1.26026672488047	kin	NA	NA	1.85322634379069	kin	NA	NA
Q9UBF8;Q9UBF8	PI4KB	-2.3767822579077196	kin	NA	NA	-1.79832077026367	kin	NA	NA
O00443	PIK3C2A	0.07436700914318804	kin	NA	NA	-0.497549692789715	kin	NA	NA
Q16512	PKN1	-1.8676083425541512	kin	-1.8676083425541512	kin	-1.273617108662925	kin	-1.273617108662925	kin
Q01970	PLCB3	0.48943412009036386	other	NA	NA	1.0689837137858	other	NA	NA
P24928	POLR2A	2.0190603913785834	other	NA	NA	2.604066467285158	other	NA	NA
O14974	PPP1R12A	-2.224292206881772	other	NA	NA	-2.806644757588705	other	NA	NA
Q13131	PRKAA1	-3.480937755456367	kin	-3.480937755456367	kin	-4.05648422241211	kin	-4.05648422241211	kin
Q9Y478	PRKAB1	1.1126567028922707	kin	1.1126567028922707	kin	1.72496350606283	kin	1.72496350606283	kin
P17612	PRKACA	-1.6513644082275118	kin	-1.6513644082275118	kin	-1.04531160990397	kin	-1.04531160990397	kin
P10644	PRKAR1A	0.18357602192700903	other	0.18357602192700903	other	-0.393433252970379	other	-0.393433252970379	other
P17252	PRKCA	-3.369890842882524	kin	NA	NA	-2.77544403076172	kin	NA	NA
Q05655	PRKCD	2.3043694511222172	kin	4.027296544628083	kin	2.8952229817708353	kin	4.6181500752767	kin
P78527	PRKDC	1.1943737457064123	kin	0.5154394894706547	kin	1.7799048423767074	kin	1.10097058614095	kin
Q05209	PTPN12	2.959997120050313	phos	NA	NA	2.35970687866211	phos	NA	NA
Q15276	RABEP1	-1.1222260562570163	other	NA	NA	-1.70918973286947	other	NA	NA
Q99638	RAD9A	1.419878444018683	other	NA	NA	1.99314530690511	other	NA	NA
P46060	RANGAP1	-1.3385152358094412	other	NA	NA	-0.744473139444988	other	NA	NA
P06400	RB1	-1.4763856448575632	tf	NA	NA	-0.887730280558269	tf	NA	NA
Q99708	RBBP8	0.00185711619300595	tf	NA	NA	-0.607996622721352	tf	NA	NA
Q08999	RBL2	-1.8167808693273055	other	NA	NA	-1.2089621225992826	other	NA	NA
Q96I25	RBM17	0.7244604926147975	other	NA	NA	1.3253370920817	other	NA	NA
Q96D71	REPS1	-0.4055227359017291	other	NA	NA	-1.00267918904622	other	NA	NA
Q13127	REST	-0.729096965484882	tf	NA	NA	-1.33078002929688	tf	NA	NA
P62753	RPS6	-2.188601214255223	other	-1.68586777173678	other	-1.5868932935926634	other	-1.08415985107422	other
Q15418	RPS6KA1	0.34827685642213685	kin	NA	NA	0.94603983561198	kin	NA	NA
Q8N122	RPTOR	0.2657726599966134	other	NA	NA	0.799566904703777	other	NA	NA
P31350	RRM2	0.27600128450958406	other	NA	NA	0.834203084309895	other	NA	NA
Q01196;Q01196	RUNX1	-1.806590583513802	tf	-1.806590583513802	tf	-1.23720105489095	tf	-1.23720105489095	tf
Q15637	SF1	0.13238143513764797	tf	NA	NA	0.724833806355793	tf	NA	NA
P55011	SLC12A2	-1.9150436068408156	other	-1.9150436068408156	other	-2.49333127339681	other	-2.49333127339681	other
P19634	SLC9A1	0.9480231515445056	other	0.9480231515445056	other	1.53682009379069	other	1.53682009379069	other
Q14683	SMC1A	2.347272871663088	other	NA	NA	2.93977038065593	other	NA	NA
Q9UQE7	SMC3	1.2036969371851205	other	NA	NA	1.78783353169759	other	NA	NA
Q96L92	SNX27	3.231106686921813	other	NA	NA	3.78998883565267	other	NA	NA
Q13501	SQSTM1	1.0809212639943744	kin	NA	NA	1.65709368387858	kin	NA	NA
P12931	SRC	0.5533136339922262	kin	0.5533136339922262	kin	1.13880284627279	kin	1.13880284627279	kin
Q07955	SRSF1	1.1977529331403385	other	NA	NA	1.76741663614909	other	NA	NA
Q9Y365	STARD10	-0.8330919344616445	other	-0.8330919344616445	other	-1.38655598958334	other	-1.38655598958334	other
Q13586	STIM1	-2.500778104391463	other	-2.500778104391463	other	-3.04601287841797	other	-3.04601287841797	other
Q9UEW8	STK39	-3.2683944578684265	kin	-3.2683944578684265	kin	-2.66130510965983	kin	-2.66130510965983	kin
P16949	STMN1	3.184601948349643	other	3.184601948349643	other	2.58505694071452	other	2.58505694071452	other
O00267	SUPT5H	0.3034621218090519	other	NA	NA	0.885556538899738	other	NA	NA
P37802	TAGLN2	-2.202288907840998	other	NA	NA	-2.80076662699382	other	NA	NA
P11387	TOP1	-4.360918298561715	kin	NA	NA	-4.95356241861979	kin	NA	NA
P11388	TOP2A	0.9696507322705924	other	0.9709928699252124	other	1.56519444783529	other	1.56653658548991	other
Q12888	TP53BP1	3.4775236067522752	tf	NA	NA	4.06335576375326	tf	NA	NA
P55327	TPD52	0.24799242393651288	other	NA	NA	0.847600301106773	other	NA	NA
Q12933	TRAF2	0.6893425344843924	other	0.6893425344843924	other	1.27943738301595	other	1.27943738301595	other
P49815	TSC2	4.247169491854431	other	NA	NA	4.83003044128418	other	NA	NA
O75385	ULK1	-0.43733529708235847	kin	-0.43733529708235847	kin	-0.978996912638348	kin	-0.978996912638348	kin
Q9Y5T5	USP16	2.4611268585686035	tf	NA	NA	1.87709999084473	tf	NA	NA
O75379	VAMP4	0.4051740890633785	other	NA	NA	1.02038447062174	other	NA	NA
Q96JH7	VCPIP1	-0.4853802398487389	other	NA	NA	-1.06913693745931	other	NA	NA
P10398	ARAF	NA	NA	0.24997386171274444	kin	NA	NA	0.773946762084961	kin
P15336	ATF2	NA	NA	1.034414112554504	tf	NA	NA	1.64629046122233	tf
