gene_name	NES	pvalues	reg_exp_meas	reg_exp_sign	pWeight	raw_weight	weight	weightedNES	UNIPROT	mf
ATF2	2.356379279408535	0.018454064791474732	13	NA	0.018454064791474732	3.9924706188600747	0.3544363970711318	3.3407463277065235	P15336	tf
ATF4	2.924575562726819	0.003449263259459414	22	NA	0.003449263259459414	5.669594618726264	0.5033251040151592	5.888049197238675	P18848	tf
BMAL1	4.363105944579202	1.2822880600410701e-5	7	NA	1.2822880600410701e-5	11.264279435892208	1	17.45242377831681	O00327	tf
DDIT3	2.951522340899115	0.0031621167016100773	6	NA	0.0031621167016100773	5.756513633345854	0.5110414444268355	6.0334009614046344	P35638	tf
EGR3	3.3643205702373504	7.673235999347863e-4	2	NA	7.673235999347863e-4	7.172601942138063	0.6367563928930483	8.569010523360875	Q06889	tf
ESRRG	2.5360812705637352	0.011210071511251973	NA	NA	0.005701666273019805	5.166996818261347	0.4587063777730302	4.65326661343326	P62508	tf
FOXO3	2.222121625704437	0.026275087164967778	36	1	0.026275087164967778	3.6391340448138627	0.3230685163241086	2.8715901468321947	O43524	tf
FOXO4	3.118475749991129	0.0018178910097361672	11	NA	0.0018178910097361672	6.310078235664133	0.5601848100072752	6.987690982084302	P98177	tf
HBP1	0.5963723187998173	0.01840267695706514	2	NA	0.01840267695706514	3.9952591381523566	0.35468395123632734	0.8460947617595596	O60381	tf
HIF1A	-3.318125805519259	9.062365738987403e-4	90	NA	9.062365738987403e-4	7.006210166913419	0.6219847622555432	-8.255294761119517	Q16665	tf
HMGA2	2.0749021519899538	0.03799560423416368	2	NA	0.03799560423416368	3.270284803995297	0.29032347986458384	2.409571252576948	P52926	tf
HOXA9	2.3150004177168	0.020612909209206276	2	NA	0.020612909209206276	3.8818377388153076	0.3446148296398188	3.191133898270338	P31269	tf
KAT2B	2.605613277073039	0.009170994265017232	NA	NA	0.005701666273019805	5.166996818261347	0.4587063777730302	4.780845712813955	Q92831	tf
KDM5A	2.25185176904144	0.024331640910821722	1	NA	0.024331640910821722	3.7159776805307474	0.3298904028153148	2.9714571486778394	P29375	tf
MAX	2.199073059739847	0.027872727776732345	3	NA	0.027872727776732345	3.58010656726042	0.31782828077336767	2.7957104394885794	P61244;P61244	tf
MEF2D	2.9976305161630017	0.002720873254275229	3	NA	0.002720873254275229	5.906802400833658	0.5243835111203274	6.287632060427977	Q14814	tf
NANOG	2.6187302162187582	0.008825771634113907	4	NA	0.008825771634113907	4.730079242691834	0.4199184927550742	4.398612981307002	Q9H9S0	tf
NEUROD1	2.411485377625788	0.01588768891450319	NA	NA	0.005701666273019805	5.166996818261347	0.4587063777730302	4.424654890493412	Q13562	tf
NFAT5	-2.120860461801161	0.0339335468007477	1	NA	0.0339335468007477	3.383351172765369	0.30036108319407867	-2.5480957824403623	O94916	tf
NFIX	-1.99875583019749	0.04563477901220132	6	NA	0.04563477901220132	3.0870851555318404	0.2740597099975372	-2.1911137727192433	Q14938	tf
NR2C2	2.9714854653103817	0.0029636290162377826	NA	NA	0.005701666273019805	5.166996818261347	0.4587063777730302	5.452157337590929	P49116	tf
NR2F2	2.4486810738655564	0.01433803410232129	1	NA	0.01433803410232129	4.244839545096949	0.3768407530419835	3.6910512793405963	P24468	tf
OLIG2	3.552138648810794	3.821134570456097e-4	NA	NA	0.005701666273019805	5.166996818261347	0.4587063777730302	6.517554611774341	Q13516	tf
POU2F1	3.1660342802738644	0.0015453258103694438	10	1	0.0015453258103694438	6.472520510366573	0.5746058189698936	7.276886882014086	P14859	tf
PRDM1	2.3239079647299516	0.020130427298183973	1	NA	0.020130427298183973	3.9055228126215984	0.34671750064874474	3.22295824507552	O75626	tf
RB1	2.2733270258300635	0.02300648007731231	NA	NA	0.005701666273019805	5.166996818261347	0.4587063777730302	4.171158422048177	P06400	tf
REST	3.027133280308943	0.0024688507612246175	1	NA	0.0024688507612246175	6.004002515474475	0.5330125685930232	6.454000340843574	Q13127	tf
SMAD5	2.3320857245720172	0.019696181885123804	3	NA	0.019696181885123804	3.9273304749602267	0.3486535021890777	3.2523594211087468	Q99717	tf
SREBF1	2.0418910956294147	0.04116233523909076	22	NA	0.04116233523909076	3.1902316339820893	0.28321666309314186	2.313190330015049	P36956;P36956	tf
STAT2	2.3927517456691345	0.01672255162636664	5	NA	0.01672255162636664	4.090997073736731	0.36318320199881443	3.4760289623214766	P52630	tf
XBP1	2.5394823427382325	0.011101664905406435	NA	NA	0.005701666273019805	5.166996818261347	0.4587063777730302	4.659506987424094	P17861;P17861	tf
ZIC1	2.7486044452618343	0.005984956356219692	1	NA	0.005984956356219692	5.118506232192658	0.4544015674791574	4.99588067322863	Q15915	tf
