gene_name	NES	pvalues	reg_exp_meas	reg_exp_sign	pWeight	raw_weight	weight	weightedNES	UNIPROT	mf
ATF2	1.9938430633263649	0.046169207799077454	13	NA	0.046169207799077454	3.0754422009583458	0.2477164075829781	1.9756305637257898	P15336	tf
ATF3	2.184545959190366	0.028922153980115346	6	NA	0.028922153980115346	3.543147403824892	0.28538847068527473	2.4937769217401407	P18847	tf
ATF4	2.0227441161965576	0.04309953596815944	22	NA	0.04309953596815944	3.144243048330406	0.25325808179957066	2.049105179357232	P18848	tf
BMAL1	4.6084629362669345	4.056566674088685e-6	7	NA	4.056566674088685e-6	12.415173588887761	1	18.433851745067738	O00327	tf
DDIT3	2.951522340899116	0.0031621167016100678	6	NA	0.0031621167016100678	5.7565136333458575	0.4636675912850903	5.474101017715297	P35638	tf
EGR3	3.7502597980400942	1.7665145228444243e-4	2	NA	1.7665145228444243e-4	8.641331962939349	0.6960298944731469	10.441171725906928	Q06889	tf
ESRRG	2.5360812705637352	0.011210071511251973	NA	NA	0.005701666273019805	5.166996818261347	0.4161840171841079	4.2219059643543675	P62508	tf
FOXO4	3.118475749991129	0.0018178910097361672	11	NA	0.0018178910097361672	6.310078235664133	0.5082553369460728	6.3399277722795935	P98177	tf
HBP1	0.5963723187998173	0.01840267695706514	2	NA	0.01840267695706514	3.9952591381523566	0.32180453294091077	0.7676612620410527	O60381	tf
HIF1A	-3.3167922466894906	9.105729918621905e-4	90	NA	9.105729918621905e-4	7.001436495219911	0.5639418929660853	-7.481912392693226	Q16665	tf
HMGA2	2.0749021519899538	0.03799560423416368	2	NA	0.03799560423416368	3.270284803995297	0.2634103164632652	2.1862025299439347	P52926	tf
HOXA9	2.3150004177168007	0.02061290920920625	2	NA	0.02061290920920625	3.881837738815309	0.31266882504887084	2.895313842380629	P31269	tf
KAT2B	2.605613277073039	0.009170994265017232	NA	NA	0.005701666273019805	5.166996818261347	0.4161840171841079	4.337658403522021	Q92831	tf
KDM5A	2.25185176904144	0.024331640910821722	1	NA	0.024331640910821722	3.7159776805307474	0.29930936155872556	2.6960012612667206	P29375	tf
MAX	2.6066011679508896	0.009144580541655867	3	NA	0.009144580541655867	4.694593865697447	0.3781335663239826	3.942573582486113	P61244;P61244	tf
MEF2D	2.9976305161630017	0.002720873254275229	3	NA	0.002720873254275229	5.906802400833658	0.47577284027027694	5.70476473902291	Q14814	tf
NANOG	2.6187302162187582	0.008825771634113907	4	NA	0.008825771634113907	4.730079242691834	0.38099179273059103	3.990858879019812	Q9H9S0	tf
NEUROD1	2.411485377625788	0.01588768891450319	NA	NA	0.005701666273019805	5.166996818261347	0.4161840171841079	4.014486687364143	Q13562	tf
NFAT5	-2.120860461801161	0.0339335468007477	1	NA	0.0339335468007477	3.383351172765369	0.27251742785083954	-2.3118857515223845	O94916	tf
NFIX	-1.9987558301974904	0.045634779012201275	6	NA	0.045634779012201275	3.0870851555318413	0.24865420796813878	-1.9879961915178266	Q14938	tf
NFYA	2.466703087674537	0.013636337617866527	9	NA	0.013636337617866527	4.295017165709194	0.3459490223764138	3.4134140866955494	P23511	tf
NR2C2	2.9714854653103817	0.0029636290162377826	NA	NA	0.005701666273019805	5.166996818261347	0.4161840171841079	4.946739031828251	P49116	tf
NR2F2	2.4486810738655564	0.01433803410232129	1	NA	0.01433803410232129	4.244839545096949	0.3419073857248605	3.3488885777572657	P24468	tf
OLIG2	3.552138648810794	3.821134570456097e-4	NA	NA	0.005701666273019805	5.166996818261347	0.4161840171841079	5.913373329828022	Q13516	tf
POU2F1	3.1660342802738644	0.0015453258103694438	10	1	0.0015453258103694438	6.472520510366573	0.521339509594922	6.602315036154754	P14859	tf
PRDM1	2.3239079647299516	0.020130427298183973	1	NA	0.020130427298183973	3.9055228126215984	0.3145765771746638	2.92418805285475	O75626	tf
RB1	2.1314390261425493	0.033052990650949444	NA	NA	0.005701666273019805	5.166996818261347	0.4161840171841079	3.548283425131956	P06400	tf
REST	3.027133280308943	0.0024688507612246175	1	NA	0.0024688507612246175	6.004002515474475	0.4836019788598346	5.855710578519468	Q13127	tf
SMAD5	2.3320857245720172	0.019696181885123804	3	NA	0.019696181885123804	3.9273304749602267	0.31633311019311044	2.950863721963279	Q99717	tf
STAT2	2.3927517456691345	0.01672255162636664	5	NA	0.01672255162636664	4.090997073736731	0.3295158979813533	3.153798960482462	P52630	tf
XBP1	2.102277278740966	0.03552899372694333	NA	NA	0.005701666273019805	5.166996818261347	0.4161840171841079	3.499736812405159	P17861;P17861	tf
ZIC1	2.7486044452618343	0.005984956356219692	1	NA	0.005984956356219692	5.118506232192658	0.4122782654262678	4.5327594921419125	Q15915	tf
