gene_name	NES	pvalues	UNIPROT	mf
ATF2	1.9676861404568804	0.049104161478829136	P15336	tf
ATF4	5.933480944354311	2.9657843560724017e-09	P18848	tf
ATF6	2.025427527259478	0.042823483232544465	P18850	tf
ESR1	-2.13842066149017	0.03248261703473124	P03372	tf
FOXM1	2.0366059136938115	0.04168954970093757	Q08050;Q08050	tf
FOXO1	2.7249370935592045	0.0064313739390324835	Q12778	tf
FOXO3	4.242966406238921	2.2058446637570954e-5	O43524	tf
HIF1A	-2.2162466157872434	0.026674616917932555	Q16665	tf
MYCN	-3.2987349073090355	9.712158128001068e-4	P04198	tf
SREBF1	3.3381333727412277	8.43432542408864e-4	P36956;P36956	tf
SREBF2	3.03599808526711	0.002397408867949217	Q12772	tf
STAT3	2.5758201451607605	0.01000026485900215	P40763	tf
TWIST1	2.7633860608420466	0.005720506072298819	Q15672	tf
