Atlas	Direct	PKN_filtering	Connect_all	Layer_types	Carnival_types	Steps_numbers	TopDown	Max_length1	Max_length1-2	Max_length1-3	Keep_only_connected	network_id
TRUE	TRUE	TRUE	TRUE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network1
FALSE	TRUE	TRUE	TRUE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network2
TRUE	FALSE	TRUE	TRUE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network3
FALSE	FALSE	TRUE	TRUE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network4
TRUE	TRUE	FALSE	TRUE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network5
FALSE	TRUE	FALSE	TRUE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network6
TRUE	FALSE	FALSE	TRUE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network7
FALSE	FALSE	FALSE	TRUE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network8
TRUE	TRUE	TRUE	FALSE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network9
FALSE	TRUE	TRUE	FALSE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network10
TRUE	FALSE	TRUE	FALSE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network11
FALSE	FALSE	TRUE	FALSE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network12
TRUE	TRUE	FALSE	FALSE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network13
FALSE	TRUE	FALSE	FALSE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network14
TRUE	FALSE	FALSE	FALSE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network15
FALSE	FALSE	FALSE	FALSE	one	vanilla	one_step	TRUE	1	NA	NA	NA	Network16
TRUE	TRUE	TRUE	TRUE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network17
FALSE	TRUE	TRUE	TRUE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network18
TRUE	FALSE	TRUE	TRUE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network19
FALSE	FALSE	TRUE	TRUE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network20
TRUE	TRUE	FALSE	TRUE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network21
FALSE	TRUE	FALSE	TRUE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network22
TRUE	FALSE	FALSE	TRUE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network23
FALSE	FALSE	FALSE	TRUE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network24
TRUE	TRUE	TRUE	FALSE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network25
FALSE	TRUE	TRUE	FALSE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network26
TRUE	FALSE	TRUE	FALSE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network27
FALSE	FALSE	TRUE	FALSE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network28
TRUE	TRUE	FALSE	FALSE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network29
FALSE	TRUE	FALSE	FALSE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network30
TRUE	FALSE	FALSE	FALSE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network31
FALSE	FALSE	FALSE	FALSE	two	vanilla	one_step	TRUE	NA	1;1	NA	NA	Network32
TRUE	TRUE	TRUE	TRUE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network33
FALSE	TRUE	TRUE	TRUE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network34
TRUE	FALSE	TRUE	TRUE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network35
FALSE	FALSE	TRUE	TRUE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network36
TRUE	TRUE	FALSE	TRUE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network37
FALSE	TRUE	FALSE	TRUE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network38
TRUE	FALSE	FALSE	TRUE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network39
FALSE	FALSE	FALSE	TRUE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network40
TRUE	TRUE	TRUE	FALSE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network41
FALSE	TRUE	TRUE	FALSE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network42
TRUE	FALSE	TRUE	FALSE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network43
FALSE	FALSE	TRUE	FALSE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network44
TRUE	TRUE	FALSE	FALSE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network45
FALSE	TRUE	FALSE	FALSE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network46
TRUE	FALSE	FALSE	FALSE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network47
FALSE	FALSE	FALSE	FALSE	three	vanilla	one_step	TRUE	NA	NA	1;1;TRUE	NA	Network48
TRUE	TRUE	TRUE	TRUE	one	inverse	NA	NA	1	NA	NA	NA	Network49
FALSE	TRUE	TRUE	TRUE	one	inverse	NA	NA	1	NA	NA	NA	Network50
TRUE	FALSE	TRUE	TRUE	one	inverse	NA	NA	1	NA	NA	NA	Network51
FALSE	FALSE	TRUE	TRUE	one	inverse	NA	NA	1	NA	NA	NA	Network52
TRUE	TRUE	FALSE	TRUE	one	inverse	NA	NA	1	NA	NA	NA	Network53
FALSE	TRUE	FALSE	TRUE	one	inverse	NA	NA	1	NA	NA	NA	Network54
TRUE	FALSE	FALSE	TRUE	one	inverse	NA	NA	1	NA	NA	NA	Network55
FALSE	FALSE	FALSE	TRUE	one	inverse	NA	NA	1	NA	NA	NA	Network56
TRUE	TRUE	TRUE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network57
FALSE	TRUE	TRUE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network58
TRUE	FALSE	TRUE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network59
FALSE	FALSE	TRUE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network60
TRUE	TRUE	FALSE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network61
FALSE	TRUE	FALSE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network62
TRUE	FALSE	FALSE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network63
FALSE	FALSE	FALSE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network64
TRUE	TRUE	TRUE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network65
FALSE	TRUE	TRUE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network66
TRUE	FALSE	TRUE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network67
FALSE	FALSE	TRUE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network68
TRUE	TRUE	FALSE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network69
FALSE	TRUE	FALSE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network70
TRUE	FALSE	FALSE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network71
FALSE	FALSE	FALSE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network72
TRUE	TRUE	TRUE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network73
FALSE	TRUE	TRUE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network74
TRUE	FALSE	TRUE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network75
FALSE	FALSE	TRUE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network76
TRUE	TRUE	FALSE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network77
FALSE	TRUE	FALSE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network78
TRUE	FALSE	FALSE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network79
FALSE	FALSE	FALSE	FALSE	two	inverse	NA	NA	NA	1;1	NA	NA	Network80
TRUE	TRUE	TRUE	TRUE	three	inverse	NA	NA	NA	NA	1;1;TRUE	NA	Network81
FALSE	TRUE	TRUE	TRUE	three	inverse	NA	NA	NA	NA	1;1;TRUE	NA	Network82
TRUE	FALSE	TRUE	TRUE	three	inverse	NA	NA	NA	NA	1;1;TRUE	NA	Network83
FALSE	FALSE	TRUE	TRUE	three	inverse	NA	NA	NA	NA	1;1;TRUE	NA	Network84
TRUE	TRUE	FALSE	TRUE	three	inverse	NA	NA	NA	NA	1;1;TRUE	NA	Network85
FALSE	TRUE	FALSE	TRUE	three	inverse	NA	NA	NA	NA	1;1;TRUE	NA	Network86
TRUE	FALSE	FALSE	TRUE	three	inverse	NA	NA	NA	NA	1;1;TRUE	NA	Network87
FALSE	FALSE	FALSE	TRUE	three	inverse	NA	NA	NA	NA	1;1;TRUE	NA	Network88
