Atlas	Direct	PKN_filtering	Connect_all	Layer_types	Carnival_types	Steps_numbers	TopDown	Max_length1	Max_length1-2	Max_length1-3	Keep_only_connected	network_id	PKN_time	CARNIVAL_time	nodes	edges	n_components	clust_coeff	diameter	power_law_fit	longest_path_AMPK	longest_path_MTOR	longest_path_Perturbation	quantified_edges	significant_edges	carnival	computation_time	Precision	Recall	TP	FP	TN	RMSE
TRUE	TRUE	TRUE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network57	2.05	0.85	22	25	1	0	2	0.068	1	1	2	7	6	inverse	2.9	1	0.38	13	0	21	0
FALSE	TRUE	TRUE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network58	1.42	0.68	20	22	1	0	2	0.087	1	1	2	6	6	inverse	2.1	1	0.38	13	0	21	0
TRUE	FALSE	TRUE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network59	2.02	0.75	22	25	1	0	2	0.068	1	1	2	7	6	inverse	2.77	1	0.38	13	0	21	0
FALSE	FALSE	TRUE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network60	1.48	0.72	20	22	1	0	2	0.087	1	1	2	6	6	inverse	2.2	1	0.38	13	0	21	0
TRUE	TRUE	FALSE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network61	2.09	0.66	22	25	1	0	2	0.068	1	1	2	7	6	inverse	2.75	1	0.38	13	0	21	0
FALSE	TRUE	FALSE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network62	1.54	0.84	20	22	1	0	2	0.087	1	1	2	6	6	inverse	2.38	1	0.38	13	0	21	0
TRUE	FALSE	FALSE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network63	2.21	0.81	22	25	1	0	2	0.068	1	1	2	7	6	inverse	3.02	1	0.38	13	0	21	0
FALSE	FALSE	FALSE	FALSE	one	inverse	NA	NA	1	NA	NA	NA	Network64	1.68	0.68	20	22	1	0	2	0.087	1	1	2	6	6	inverse	2.36	1	0.38	13	0	21	0
TRUE	TRUE	TRUE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network65	16.35	1.33	43	96	1	0.06	4	0.07	3	3	4	19	16	inverse	17.68	0.73	0.24	8	3	26	104.44659357341871
FALSE	TRUE	TRUE	TRUE	two	inverse	NA	NA	NA	1;1	NA	NA	Network66	11.93	0.89	29	58	1	0.116	3	0.097	2	2	3	7	5	inverse	12.82	0.83	0.29	10	2	24	81.64965809277261
