network_id	PKN_time	CARNIVAL_time	nodes	edges	n_components	clust_coeff	diameter	power_law_fit	longest_path_AMPK	longest_path_MTOR	longest_path_Perturbation	quantified_edges	significant_edges
Network97	2.53	2.35	24	80	1	0.212	4	0.09	3	3	3	30	23
Network98	1.79	1.51	21	53	1	0.212	4	0.071	3	3	3	18	18
Network99	2.47	1.66	24	80	1	0.212	4	0.09	3	3	3	30	23
Network100	1.76	1.54	21	53	1	0.212	4	0.071	3	3	3	18	18
Network101	2.71	1.56	24	80	1	0.212	4	0.09	3	3	3	30	23
Network102	1.84	1.55	21	53	1	0.212	4	0.071	3	3	3	18	18
Network103	2.65	1.69	24	80	1	0.212	4	0.09	3	3	3	30	23
Network104	1.94	1.49	21	53	1	0.212	4	0.071	3	3	3	18	18
Network105	2.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network106	1.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network107	2.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network108	1.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network109	2.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network110	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network111	2.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network112	1.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network113	17.02	1.9	35	67	1	0.099	5	0.074	3	4	5	22	15
Network114	12.5	1.61	23	46	1	0.161	4	0.052	3	3	4	15	15
Network115	17.52	2.15	35	67	1	0.099	5	0.074	3	4	5	22	15
Network116	12.98	1.52	23	46	1	0.161	4	0.052	3	3	4	15	15
Network117	18.74	2.03	35	67	1	0.099	5	0.074	3	4	5	22	15
Network118	13.55	1.74	23	46	1	0.161	4	0.052	3	3	4	15	15
Network119	18.98	1.88	35	67	1	0.099	5	0.074	3	4	5	22	15
Network120	13.42	1.57	23	46	1	0.161	4	0.052	3	3	4	15	15
Network121	16.59	1.53	23	30	1	0	2	0.134	2	2	1	10	8
Network122	12.11	1.36	21	21	1	0	2	0.061	2	2	1	7	7
Network123	16.74	1.88	23	30	1	0	2	0.134	2	2	1	10	8
Network124	12	1.27	21	21	1	0	2	0.061	2	2	1	7	7
Network125	17.22	1.41	23	30	1	0	2	0.134	2	2	1	10	8
Network126	12.61	1.28	21	21	1	0	2	0.061	2	2	1	7	7
Network127	17.65	1.94	23	30	1	0	2	0.134	2	2	1	10	8
Network128	12.72	1.4	21	21	1	0	2	0.061	2	2	1	7	7
Network129	12.72	1.55	30	77	1	0.159	5	0.064	3	3	3	20	16
Network130	6.77	1.44	24	36	1	0.147	5	0.105	1	4	3	10	8
Network131	13.01	1.73	30	77	1	0.159	5	0.064	3	3	3	20	16
Network132	7.8	1.31	24	36	1	0.147	5	0.105	1	4	3	10	8
Network133	13.95	1.61	30	77	1	0.159	5	0.064	3	3	3	20	16
Network134	7.46	1.34	24	36	1	0.147	5	0.105	1	4	3	10	8
Network135	14.25	1.76	30	77	1	0.159	5	0.064	3	3	3	20	16
Network136	7.83	1.23	24	36	1	0.147	5	0.105	1	4	3	10	8
Network137	12.52	1.49	30	67	1	0.133	3	0.066	3	3	3	18	14
Network138	6.63	1.41	22	27	1	0.112	3	0.119	2	3	2	7	5
Network139	12.53	1.64	30	67	1	0.133	3	0.066	3	3	3	18	14
Network140	6.79	1.53	22	27	1	0.112	3	0.119	2	3	2	7	5
Network141	13.46	1.59	30	67	1	0.133	3	0.066	3	3	3	18	14
Network142	7.38	1.39	22	28	1	0.11	3	0.123	2	3	2	7	5
Network143	13.75	1.45	30	67	1	0.133	3	0.066	3	3	3	18	14
Network144	7.55	1.51	22	28	1	0.11	3	0.123	2	3	2	7	5
Network145	2.1	2.22	23	63	1	0.227	4	0.122	2	3	3	25	19
Network146	1.74	2.1	21	49	1	0.212	4	0.054	1	3	3	17	17
Network147	2.2	2.07	23	63	1	0.227	4	0.122	2	3	3	25	19
Network148	1.77	2.15	21	49	1	0.212	4	0.054	1	3	3	17	17
Network149	2.32	2.12	23	63	1	0.227	4	0.122	2	3	3	25	19
Network150	1.77	1.94	21	49	1	0.212	4	0.054	1	3	3	17	17
Network151	2.55	1.96	23	63	1	0.227	4	0.122	2	3	3	25	19
Network152	1.8	2.01	21	49	1	0.212	4	0.054	1	3	3	17	17
Network153	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network154	1.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network155	2.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network156	1.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network157	2.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network158	1.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network159	2.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network160	1.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network161	16.19	2.53	37	92	1	0.119	6	0.057	3	4	5	34	21
Network162	12	2.14	22	51	1	0.196	4	0.043	1	3	3	17	17
Network163	16.56	2.6	37	92	1	0.119	6	0.057	3	4	5	34	21
Network164	12.3	2.23	22	51	1	0.196	4	0.043	1	3	3	17	17
Network165	17.7	2.68	37	92	1	0.119	6	0.057	3	4	5	34	21
Network166	12.92	2.05	22	51	1	0.196	4	0.043	1	3	3	17	17
Network167	18.18	2.48	37	92	1	0.119	6	0.057	3	4	5	34	21
Network168	12.97	2.15	22	51	1	0.196	4	0.043	1	3	3	17	17
Network169	15.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network170	12.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network171	16.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network172	11.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network173	17.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network174	12.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network175	17.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network176	12.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Network177	12.55	2.25	30	68	1	0.164	5	0.118	3	3	3	18	15
Network178	6.69	2.39	25	46	1	0.15	5	0.07	1	4	3	16	14
Network179	13.06	2.26	30	68	1	0.164	5	0.118	3	3	3	18	15
Network180	6.9	1.94	25	46	1	0.15	5	0.07	1	4	3	16	14
Network181	13.83	2.24	30	68	1	0.164	5	0.118	3	3	3	18	15
Network182	7.58	2.21	26	54	1	0.185	4	0.113	1	3	3	18	16
Network183	14.29	2.09	30	68	1	0.164	5	0.118	3	3	3	18	15
Network184	7.72	2.14	26	54	1	0.185	4	0.113	1	3	3	18	16
Network185	12.36	2.18	30	67	1	0.133	3	0.066	3	3	3	18	14
Network186	6.53	2.13	22	27	1	0.112	3	0.119	2	3	2	7	5
Network187	12.94	2.16	30	67	1	0.133	3	0.066	3	3	3	18	14
