Atlas	Direct	PKN_filtering	Connect_all	Layer_types	Carnival_types	Steps_numbers	TopDown	Max_length1	Max_length1-2	Max_length1-3	Keep_only_connected	network_id	PKN_time	CARNIVAL_time	nodes	edges	n_components	clust_coeff	diameter	power_law_fit	longest_path_AMPK	longest_path_MTOR	longest_path_Perturbation	quantified_edges	significant_edges	carnival	computation_time	Precision	Recall	RMSE	normalized_time	norm_diam	nodes_norm	edges_norm	quant_ratio	nod_edg	combined_score2
FALSE	TRUE	TRUE	TRUE	two	vanilla	two_step	NA	NA	3;4	NA	NA	Network1554	23.49	58.26	99	219	1	0.057	24	0.028	12	7	NA	45	26	vanilla_two_step	81.75	0.76	0.47	89.18825850158447	0.058088721195455224	1	0.6111111111111112	0.28777923784494086	0.1187214611872146	0.4520547945205479	1.1632429863545162
FALSE	TRUE	TRUE	TRUE	three	vanilla	two_step	NA	NA	NA	3;4;FALSE	NA	Network4034	68.75	57.51	98	218	1	0.058	24	0.035	12	7	NA	44	25	vanilla_two_step	126.25999999999999	0.76	0.47	89.18825850158447	0.08971598701086454	1	0.6049382716049383	0.2864651773981603	0.11467889908256881	0.44954128440366975	1.1483962521391113
FALSE	TRUE	FALSE	TRUE	two	vanilla	two_step	NA	NA	1;4	NA	NA	Network1398	26.53	90.81	99	209	1	0.054	21	0.066	18	11	NA	37	26	vanilla_two_step	117.34	0.83	0.56	90.84147683213588	0.08337774367063873	0.875	0.6111111111111112	0.27463863337713534	0.12440191387559808	0.47368421052631576	1.1390254082036713
FALSE	TRUE	FALSE	TRUE	three	vanilla	two_step	NA	NA	NA	1;4;FALSE	NA	Network3878	76.59	88.09	107	236	1	0.051	21	0.062	18	11	NA	47	29	vanilla_two_step	164.68	0.83	0.56	90.84147683213588	0.1170159095592363	0.875	0.6604938271604939	0.31011826544021026	0.1228813559322034	0.4533898305084746	1.1340374960542545
FALSE	TRUE	FALSE	TRUE	three	vanilla	two_step	NA	NA	NA	2;4;FALSE	NA	Network3958	77.42	87.94	107	236	1	0.051	21	0.062	18	11	NA	47	29	vanilla_two_step	165.36	0.83	0.56	90.84147683213588	0.11749909402911898	0.875	0.6604938271604939	0.31011826544021026	0.1228813559322034	0.4533898305084746	1.133940859160278
FALSE	FALSE	FALSE	TRUE	two	vanilla	two_step	NA	NA	3;2	NA	NA	Network920	19.4	10.32	76	163	1	0.084	21	0.087	12	13	NA	39	22	vanilla_two_step	29.72	0.84	0.47	80.81614937622307	0.02111800359546091	0.875	0.4691358024691358	0.21419185282522996	0.13496932515337423	0.4662576687116564	1.1107610618575952
FALSE	FALSE	TRUE	FALSE	two	vanilla	two_step	NA	NA	4;4	NA	NA	Network1644	24.42	24.09	119	202	1	0.071	24	0.059	18	12	NA	36	26	vanilla_two_step	48.510000000000005	0.72	0.38	100.6557447310804	0.03446952740295454	1	0.7345679012345679	0.26544021024967146	0.12871287128712872	0.5891089108910891	1.0839625301629736
FALSE	TRUE	FALSE	TRUE	three	vanilla	one_step	FALSE	NA	NA	3;4;FALSE	NA	Network4070	77.4	169.8	110	224	1	0.069	22	0.065	13	18	NA	35	23	vanilla_one_step	247.20000000000002	0.77	0.5	95.9403223600247	0.17565176611029398	0.9166666666666666	0.6790123456790124	0.2943495400788436	0.10267857142857142	0.49107142857142855	1.0790422658255603
TRUE	TRUE	TRUE	FALSE	two	vanilla	two_step	NA	NA	4;4	NA	NA	Network1641	34.63	64.29	97	184	1	0.059	19	0.058	12	9	NA	41	32	vanilla_two_step	98.92000000000002	0.83	0.44	82.49579113843055	0.07028912905999306	0.7916666666666666	0.5987654320987654	0.24178712220762155	0.17391304347826086	0.5271739130434783	1.0752320292604651
FALSE	FALSE	FALSE	TRUE	two	vanilla	three_step	NA	NA	3;1	NA	NA	Network616	14.12	7.07	69	133	1	0.087	17	0.054	15	7	NA	27	17	vanilla_three_step	21.189999999999998	0.88	0.44	71.16674702663416	0.015056880760020748	0.7083333333333334	0.42592592592592593	0.1747700394218134	0.12781954887218044	0.518796992481203	1.064565064950753
