UNIPROT	gene_name	mf	final_score	method
P17544	ATF7	tf	2.53	PhosphoScore
Q09472	EP300	tf	5.29	PhosphoScore
P05412	JUN	tf	3.02	PhosphoScore
P31749	AKT1	kin	1.5421249186708883	VIPER
Q13315	ATM	kin	-1.4498601908476132	VIPER
P30530	AXL	kin	-1.2960133895997412	VIPER
P15056	BRAF	kin	7.4579151126257734	VIPER
O00311	CDC7	kin	1.0822247793514435	VIPER
P06493	CDK1	kin	6.672765411253515	VIPER+PhosphoScore
Q15131	CDK10	kin	2.7245522552964214	VIPER
P211272;P21127	CDK11B	kin	2.7245522552964214	VIPER
Q00537	CDK17	kin	3.100242952412463	VIPER
Q9BWU1	CDK19	kin	2.7245522552964214	VIPER
P24941	CDK2	kin	15.633909695719215	VIPER+PhosphoScore
Q8IZL9	CDK20	kin	2.7245522552964214	VIPER
P11802	CDK4	kin	1.3661066298385902	VIPER
P49336	CDK8	kin	2.4905154758586336	VIPER
P49761	CLK3	kin	1.1676529317803077	VIPER
P41240	CSK	kin	-1.9417284203284735	VIPER
P68400	CSNK2A1	kin	1.2032282308092423	VIPER
P67870	CSNK2B	kin	1.3478880871269585	VIPER
P00533	EGFR	kin	2.2652996459147	VIPER
P36888	FLT3	kin	6.9471758160579435	VIPER
P06241	FYN	kin	-1.691781776962667	VIPER
P34947	GRK5	kin	-2.130315507648018	VIPER
P49841	GSK3B	kin	6.409621604121198	VIPER
P06213;P06213	INSR	kin	-1.6142541217392166	VIPER
Q8IVT5	KSR1	kin	5.582759925838237	VIPER
P06239	LCK	kin	-0.7875892688904012	VIPER+PhosphoScore
P07948	LYN	kin	-3.215842944872679	VIPER+PhosphoScore
Q02750	MAP2K1	kin	1.436073407563504	VIPER
P36507	MAP2K2	kin	1.618215332933973	VIPER
P46734	MAP2K3	kin	6.227727111105819	VIPER
Q99558	MAP3K14	kin	2.267016274742919	VIPER
P28482	MAPK1	kin	6.4785748254991455	VIPER+PhosphoScore
Q15759	MAPK11	kin	1.3786791226387232	VIPER
Q16539	MAPK14	kin	11.322525692940738	VIPER
Q8TD08	MAPK15	kin	1.2790297055598416	VIPER
P27361;P27361	MAPK3	kin	5.166748224748681	VIPER
P45983	MAPK8	kin	5.06103365259991	VIPER
P45984;P45984	MAPK9	kin	9.01156395133729	VIPER
P49137	MAPKAPK2	kin	1.269921818252959	VIPER
P42345	MTOR	kin	2.1604482623885097	VIPER
Q9UBE8	NLK	kin	1.133772760859589	VIPER
Q13177	PAK2	kin	2.4947530418331	VIPER
Q02156	PRKCE	kin	-1.5076596095803745	VIPER
Q04759	PRKCQ	kin	7.219427239766964	VIPER
P78527	PRKDC	kin	-1.9295049553742123	VIPER
P60484	PTEN	phos	1.6294093696828613	VIPER
O75365	PTP4A3	phos	5.1937255213274085	VIPER
P35236	PTPN7	phos	1.246683236253491	VIPER
P04049	RAF1	kin	1.8872230909281522	VIPER
O75116	ROCK2	kin	1.282524403450008	VIPER
Q15418	RPS6KA1	kin	7.180876868207089	VIPER
Q15349	RPS6KA2	kin	3.9701181005181563	VIPER
P51812	RPS6KA3	kin	13.8491006376196	VIPER
O75676	RPS6KA4	kin	7.401868605277096	VIPER
Q9UK32	RPS6KA6	kin	10.195068076759364	VIPER
P23443;P23443	RPS6KB1	kin	3.4201056989661662	VIPER
Q9UBS0	RPS6KB2	kin	5.564599604649849	VIPER
O00418	EEF2K	kin	-9.09	PhosphoScore
Q06124;Q06124	PTPN11	phos	-5.23	PhosphoScore
P18433;P18433	PTPRA	phos	-4.88	PhosphoScore
P07947	YES1	kin	-3.69	PhosphoScore
P56211	ARPP19	other	5.32	PhosphoScore
P20810	CAST	other	-5.04	PhosphoScore
P16070	CD44	other	-3.8	PhosphoScore
P13639	EEF2	other	4.95	PhosphoScore
O43768	ENSA	other	5.32	PhosphoScore
P04792	HSPB1	other	4.71	PhosphoScore
Q00987	MDM2	other	5.08	PhosphoScore
Q9H6Z4	RANBP3	other	-4.3	PhosphoScore
P62753	RPS6	other	6.77	PhosphoScore
P11166	SLC2A1	other	-5.84	PhosphoScore
