name,solution
aD1,1
aD2,0
aD3,1
aD4,0
aD5,1
aD6,0
aD7,0
aD8,1
aD9,1
aD10,1
aD11,0
aD12,1
aD13,0
aD14,1
aD15,1
aD16,0
aD17,0
aD18,0
aD19,0
aD20,0
aD21,1
aD22,1
aD23,1
aD24,0
aD25,1
aD26,0
aD27,1
aD28,1
aD29,1
aD30,1
aD31,0
aD32,0
aD33,0
aD34,0
aD35,0
aD36,1
aD37,1
aD38,0
aD39,0
aD40,0
aD41,0
aD42,0
aD43,1
aD44,0
aD45,0
aD46,1
aD47,0
aD48,0
aD49,0
aD50,1
aD51,0
aD52,0
aD53,0
aD54,0
aD55,0
aD56,0
aD57,0
aD58,0
aD59,0
aD60,1
aD61,1
aD62,0
aD63,0
aD64,0
nU1,0
nU2,0
nU3,1
nU4,0
nU5,0
nU6,0
nU7,0
nU8,0
nU9,0
nU10,1
nU11,0
nU12,0
nU13,0
nU14,0
nU15,0
nU16,0
nU17,0
nU18,0
nU19,0
nU20,0
nU21,0
nU22,1
nU23,0
nU24,0
nU25,0
nU26,0
nU27,1
nU28,0
nU29,0
nU30,0
nU31,1
nU32,0
nU33,0
nU34,1
nU35,0
nU36,0
nU37,0
nU38,0
nU39,0
nU40,0
nU41,0
nU42,0
nU43,0
nU44,1
nU45,1
nU46,0
nU47,0
nU48,0
nU49,0
nU50,0
nU51,0
nU52,0
nU53,0
nU54,0
nU55,0
nU56,0
nU57,0
nU58,0
nU59,0
nU60,0
nU61,0
nU62,0
nU63,0
nU64,0
nU65,0
nU66,1
nU67,0
nU68,0
nU69,0
nU70,0
nU71,0
nU72,0
nU73,0
nU74,0
nU75,0
nU76,0
nU77,1
nU78,0
nU79,0
nU80,0
nU81,0
nU82,0
nU83,0
nU84,0
nU85,0
nU86,0
nU87,0
nU88,0
nU89,1
nU90,0
nU91,0
nU92,0
nU93,0
nU94,0
nU95,0
nU96,1
nU97,1
nU98,0
nU99,1
nU100,0
nU101,0
nU102,1
nU103,0
nU104,0
nU105,0
nU106,1
nU107,1
nU108,0
nU109,0
nU110,1
nU111,0
nU112,0
nU113,1
