conditions	Precision	Recall	RMSE	phenoscore_time	norm_RMSE	norm_time	score
Pheno89	0.8	0.8	100.21880899733819	18.62	0.7600868925051123	0.7483922829581994	0.46571696601578805
Pheno88	0.86	0.6	85.69382767021563	17.53	0.6499254564325623	0.7045819935691319	0.4577835467828717
Pheno78	0.8	0.8	100.63227998740159	18.86	0.7632227697233962	0.7580385852090032	0.45775793767210216
Pheno87	0.86	0.6	85.71731497379936	17.77	0.6501035905749742	0.7142282958199357	0.45278226151505785
Pheno76	0.86	0.6	85.37115546870416	18.05	0.647478222092039	0.7254823151125402	0.449780620351691
Pheno75	0.86	0.6	85.53875514728038	18.18	0.6487493439517813	0.7307073954983923	0.44589695829902265
Pheno90	0.8	0.8	101.59230676615253	19.93	0.7705038757181989	0.8010450160771705	0.42897361624321606
Pheno77	0.8	0.8	104.31540233640413	19.25	0.7911565782467427	0.7737138263665595	0.42198650856997766
Pheno51	0.86	0.6	91.36497873123068	17.79	0.6929370191324192	0.715032154340836	0.4095469036971626
Pheno64	0.86	0.6	92.50983663102124	18.18	0.7016199349654627	0.7307073954983923	0.3930263672853411
Pheno52	0.86	0.6	93.46836759529303	18.32	0.7088896962936243	0.7363344051446946	0.3829431011340283
Pheno93	0.75	0.6	82.84216620128407	17.72	0.628297674920468	0.7122186495176849	0.36559300032068975
Pheno63	0.86	0.6	92.44884120217469	19.61	0.7011573289294019	0.7881832797427653	0.3647510311992155
Pheno94	0.75	0.6	86.23178148277589	18.23	0.6540054454664678	0.7327170418006431	0.3296360336332107
Pheno82	0.75	0.6	87.4886126873256	17.89	0.6635375975068599	0.7190514469453376	0.3269366790204713
Pheno70	0.75	0.6	93.296590979473	17.41	0.7075868953979645	0.69975884244373	0.2925336833801706
Pheno81	0.75	0.6	87.77508665408082	19.7	0.6657102945220517	0.7918006430868167	0.28838938393454017
Pheno69	0.75	0.6	93.37622201116233	17.92	0.7081908389493724	0.7202572347266882	0.28168054368728357
Pheno57	0.75	0.6	93.94159738482207	18.63	0.7124788006120915	0.7487942122186495	0.2631240932785839
Pheno84	0.7	0.7	100.22312990615966	18.85	0.7601196634609015	0.7576366559485531	0.26106200856482187
Pheno58	0.75	0.6	93.76562827883359	19.28	0.7111442027228745	0.77491961414791	0.2513959902031706
Pheno83	0.7	0.7	102.09803224741692	18.99	0.7743394362617801	0.7632636655948553	0.24402873094079203
Pheno95	0.7	0.7	105.52319828415293	18.45	0.8003168334711789	0.7415594855305466	0.22890342376354766
Pheno60	0.7	0.7	105.74725444163101	19.53	0.8020161367276034	0.7849678456591641	0.2054999404428144
Pheno96	0.7	0.7	102.94918237248653	20.67	0.7807947918990307	0.8307877813504824	0.2038113174257281
Pheno80	0.8	0.4	84.85426377891449	17.99	0.6435579739651192	0.7230707395498392	0.1949066562599615
Pheno66	0.7	0.7	108.54827874755699	20.09	0.8232598721284013	0.807475884244373	0.17300218574941217
Pheno79	0.8	0.4	89.2992368210907	17.81	0.6772698667794356	0.7158360128617363	0.16481212678969648
Pheno53	0.7	0.7	108.02756526593625	20.9	0.8193106384856313	0.840032154340836	0.16067328434395067
Pheno65	0.7	0.7	111.2095045901719	19.74	0.8434433376994319	0.7934083601286174	0.15985248223625925
Pheno59	0.7	0.7	112.35731319051223	20.11	0.8521486324534985	0.8082797427652734	0.1437114961638648
Pheno47	0.67	0.6	96.47305304368327	19.88	0.7316780535717768	0.7990353697749196	0.13880426154076342
Pheno72	0.7	0.7	115.5054610581126	19.3	0.8760250480063366	0.7757234726688104	0.13611321565925816
Pheno54	0.7	0.7	114.71969038677042	19.75	0.8700655480504152	0.7938102893890675	0.1330293072550508
Pheno91	0.8	0.4	95.84714488766434	16.98	0.7269309947106536	0.682475884244373	0.13183106316715998
Pheno48	0.67	0.6	97.10538273241602	20.72	0.736473815095548	0.8327974276527331	0.11712747107808541
Pheno71	0.7	0.7	117.68544325937934	19.68	0.8925586300120987	0.7909967845659164	0.11194297770494299
Pheno68	0.8	0.4	96.9026586474164	18.5	0.7349363001186199	0.7435691318327975	0.09327913396498166
Pheno35	0.67	0.6	96.81769867180117	22.88	0.7342919403971387	0.9196141479099679	0.0759009856478774
Pheno55	0.8	0.4	100.76216701949863	18.35	0.7642078685445763	0.7375401929260451	0.06702203499240134
Pheno67	0.8	0.4	100.8854748108572	18.92	0.7651430686022611	0.7604501607717042	0.054631851011886834
Pheno4	0.71	0.5	99.89226676959274	20.05	0.757610306825818	0.8058681672025724	0.04945560957289574
Pheno36	0.67	0.6	97.12441252301225	24.32	0.7366181422387661	0.977491961414791	0.044635877053838424
Pheno3	0.71	0.5	99.16733556175355	20.62	0.7521122300220805	0.8287781350482316	0.043498702453803606
Pheno16	0.71	0.5	100.18964867017957	20.39	0.7598657325983426	0.8195337620578779	0.04036738637271853
Pheno92	0.8	0.4	108.43686049672473	16.98	0.8224148456020365	0.682475884244373	0.036347212275777085
Pheno15	0.71	0.5	99.8097738760181	21	0.7569846581301468	0.8440514469453376	0.030989618397184282
Pheno18	0.6	0.6	100.79463055329794	22.59	0.764454080875097	0.9079581993569132	-0.018433180553553585
Pheno17	0.6	0.6	100.8639504097106	23.08	0.7649798216494761	0.927652733118971	-0.028806188208961636
Pheno5	0.6	0.6	101.21019158535638	24.05	0.7676058095442325	0.9666398713826367	-0.050925745235550934
Pheno73	0.75	0.3	99.91919639613852	17.34	0.7578145484882594	0.6969453376205788	-0.056287217298548686
Pheno6	0.6	0.6	101.32267158346149	24.88	0.7684588886526758	1	-0.0684588886526758
Pheno46	0.56	0.5	99.0011931830943	19.43	0.7508521607239923	0.7809485530546624	-0.08132643725132338
Pheno45	0.56	0.5	99.00430629139565	19.96	0.750875771389879	0.802250803858521	-0.09200117331913948
