gene_name	NES	pvalues	UNIPROT	mf
ATF2	1.9938430633263649	0.046169207799077454	P15336	tf
ATF3	2.184545959190366	0.028922153980115346	P18847	tf
ATF4	2.0227441161965576	0.04309953596815944	P18848	tf
BMAL1	4.6084629362669345	4.056566674088685e-6	O00327	tf
DDIT3	2.951522340899116	0.0031621167016100678	P35638	tf
EGR3	3.7502597980400942	1.7665145228444243e-4	Q06889	tf
ESRRG	2.5360812705637352	0.011210071511251973	P62508	tf
FOXO4	3.118475749991129	0.0018178910097361672	P98177	tf
HIF1A	-3.3167922466894906	9.105729918621905e-4	Q16665	tf
HMGA2	2.0749021519899538	0.03799560423416368	P52926	tf
HOXA9	2.3150004177168007	0.02061290920920625	P31269	tf
KAT2B	2.605613277073039	0.009170994265017232	Q92831	tf
KDM5A	2.25185176904144	0.024331640910821722	P29375	tf
MAX	2.6066011679508896	0.009144580541655867	P61244;P61244	tf
MEF2D	2.9976305161630017	0.002720873254275229	Q14814	tf
NANOG	2.6187302162187582	0.008825771634113907	Q9H9S0	tf
NEUROD1	2.411485377625788	0.01588768891450319	Q13562	tf
NFAT5	-2.120860461801161	0.0339335468007477	O94916	tf
NFIX	-1.9987558301974904	0.045634779012201275	Q14938	tf
NFYA	2.466703087674537	0.013636337617866527	P23511	tf
NR2C2	2.9714854653103817	0.0029636290162377826	P49116	tf
NR2F2	2.4486810738655564	0.01433803410232129	P24468	tf
OLIG2	3.552138648810794	3.821134570456097e-4	Q13516	tf
POU2F1	3.1660342802738644	0.0015453258103694438	P14859	tf
PRDM1	2.3239079647299516	0.020130427298183973	O75626	tf
RB1	2.1314390261425493	0.033052990650949444	P06400	tf
REST	3.027133280308943	0.0024688507612246175	Q13127	tf
SMAD5	2.3320857245720172	0.019696181885123804	Q99717	tf
STAT2	2.3927517456691345	0.01672255162636664	P52630	tf
XBP1	2.102277278740966	0.03552899372694333	P17861;P17861	tf
ZIC1	2.7486044452618343	0.005984956356219692	Q15915	tf
