preprocess	path_length	stat	remove_cascade	node_idx	use_carnival_activity	pheno_id
TRUE	2	mean	TRUE	TRUE	TRUE	Pheno1
FALSE	2	mean	TRUE	TRUE	TRUE	Pheno2
TRUE	3	mean	TRUE	TRUE	TRUE	Pheno3
FALSE	3	mean	TRUE	TRUE	TRUE	Pheno4
TRUE	4	mean	TRUE	TRUE	TRUE	Pheno5
FALSE	4	mean	TRUE	TRUE	TRUE	Pheno6
TRUE	2	median	TRUE	TRUE	TRUE	Pheno7
FALSE	2	median	TRUE	TRUE	TRUE	Pheno8
TRUE	3	median	TRUE	TRUE	TRUE	Pheno9
FALSE	3	median	TRUE	TRUE	TRUE	Pheno10
TRUE	4	median	TRUE	TRUE	TRUE	Pheno11
FALSE	4	median	TRUE	TRUE	TRUE	Pheno12
TRUE	2	mean	FALSE	TRUE	TRUE	Pheno13
FALSE	2	mean	FALSE	TRUE	TRUE	Pheno14
TRUE	3	mean	FALSE	TRUE	TRUE	Pheno15
FALSE	3	mean	FALSE	TRUE	TRUE	Pheno16
TRUE	4	mean	FALSE	TRUE	TRUE	Pheno17
FALSE	4	mean	FALSE	TRUE	TRUE	Pheno18
TRUE	2	median	FALSE	TRUE	TRUE	Pheno19
FALSE	2	median	FALSE	TRUE	TRUE	Pheno20
TRUE	3	median	FALSE	TRUE	TRUE	Pheno21
FALSE	3	median	FALSE	TRUE	TRUE	Pheno22
TRUE	4	median	FALSE	TRUE	TRUE	Pheno23
FALSE	4	median	FALSE	TRUE	TRUE	Pheno24
TRUE	2	mean	TRUE	FALSE	TRUE	Pheno25
FALSE	2	mean	TRUE	FALSE	TRUE	Pheno26
TRUE	3	mean	TRUE	FALSE	TRUE	Pheno27
FALSE	3	mean	TRUE	FALSE	TRUE	Pheno28
TRUE	4	mean	TRUE	FALSE	TRUE	Pheno29
FALSE	4	mean	TRUE	FALSE	TRUE	Pheno30
TRUE	2	median	TRUE	FALSE	TRUE	Pheno31
FALSE	2	median	TRUE	FALSE	TRUE	Pheno32
TRUE	3	median	TRUE	FALSE	TRUE	Pheno33
FALSE	3	median	TRUE	FALSE	TRUE	Pheno34
TRUE	4	median	TRUE	FALSE	TRUE	Pheno35
FALSE	4	median	TRUE	FALSE	TRUE	Pheno36
TRUE	2	mean	FALSE	FALSE	TRUE	Pheno37
FALSE	2	mean	FALSE	FALSE	TRUE	Pheno38
TRUE	3	mean	FALSE	FALSE	TRUE	Pheno39
FALSE	3	mean	FALSE	FALSE	TRUE	Pheno40
TRUE	4	mean	FALSE	FALSE	TRUE	Pheno41
FALSE	4	mean	FALSE	FALSE	TRUE	Pheno42
TRUE	2	median	FALSE	FALSE	TRUE	Pheno43
FALSE	2	median	FALSE	FALSE	TRUE	Pheno44
TRUE	3	median	FALSE	FALSE	TRUE	Pheno45
FALSE	3	median	FALSE	FALSE	TRUE	Pheno46
TRUE	4	median	FALSE	FALSE	TRUE	Pheno47
FALSE	4	median	FALSE	FALSE	TRUE	Pheno48
TRUE	2	mean	TRUE	TRUE	FALSE	Pheno49
FALSE	2	mean	TRUE	TRUE	FALSE	Pheno50
TRUE	3	mean	TRUE	TRUE	FALSE	Pheno51
FALSE	3	mean	TRUE	TRUE	FALSE	Pheno52
TRUE	4	mean	TRUE	TRUE	FALSE	Pheno53
FALSE	4	mean	TRUE	TRUE	FALSE	Pheno54
TRUE	2	median	TRUE	TRUE	FALSE	Pheno55
FALSE	2	median	TRUE	TRUE	FALSE	Pheno56
TRUE	3	median	TRUE	TRUE	FALSE	Pheno57
FALSE	3	median	TRUE	TRUE	FALSE	Pheno58
TRUE	4	median	TRUE	TRUE	FALSE	Pheno59
FALSE	4	median	TRUE	TRUE	FALSE	Pheno60
TRUE	2	mean	FALSE	TRUE	FALSE	Pheno61
FALSE	2	mean	FALSE	TRUE	FALSE	Pheno62
TRUE	3	mean	FALSE	TRUE	FALSE	Pheno63
FALSE	3	mean	FALSE	TRUE	FALSE	Pheno64
TRUE	4	mean	FALSE	TRUE	FALSE	Pheno65
FALSE	4	mean	FALSE	TRUE	FALSE	Pheno66
TRUE	2	median	FALSE	TRUE	FALSE	Pheno67
FALSE	2	median	FALSE	TRUE	FALSE	Pheno68
TRUE	3	median	FALSE	TRUE	FALSE	Pheno69
FALSE	3	median	FALSE	TRUE	FALSE	Pheno70
TRUE	4	median	FALSE	TRUE	FALSE	Pheno71
FALSE	4	median	FALSE	TRUE	FALSE	Pheno72
TRUE	2	mean	TRUE	FALSE	FALSE	Pheno73
FALSE	2	mean	TRUE	FALSE	FALSE	Pheno74
TRUE	3	mean	TRUE	FALSE	FALSE	Pheno75
FALSE	3	mean	TRUE	FALSE	FALSE	Pheno76
TRUE	4	mean	TRUE	FALSE	FALSE	Pheno77
FALSE	4	mean	TRUE	FALSE	FALSE	Pheno78
TRUE	2	median	TRUE	FALSE	FALSE	Pheno79
FALSE	2	median	TRUE	FALSE	FALSE	Pheno80
TRUE	3	median	TRUE	FALSE	FALSE	Pheno81
FALSE	3	median	TRUE	FALSE	FALSE	Pheno82
TRUE	4	median	TRUE	FALSE	FALSE	Pheno83
FALSE	4	median	TRUE	FALSE	FALSE	Pheno84
TRUE	2	mean	FALSE	FALSE	FALSE	Pheno85
FALSE	2	mean	FALSE	FALSE	FALSE	Pheno86
TRUE	3	mean	FALSE	FALSE	FALSE	Pheno87
FALSE	3	mean	FALSE	FALSE	FALSE	Pheno88
TRUE	4	mean	FALSE	FALSE	FALSE	Pheno89
FALSE	4	mean	FALSE	FALSE	FALSE	Pheno90
TRUE	2	median	FALSE	FALSE	FALSE	Pheno91
FALSE	2	median	FALSE	FALSE	FALSE	Pheno92
TRUE	3	median	FALSE	FALSE	FALSE	Pheno93
FALSE	3	median	FALSE	FALSE	FALSE	Pheno94
TRUE	4	median	FALSE	FALSE	FALSE	Pheno95
FALSE	4	median	FALSE	FALSE	FALSE	Pheno96
