gene_name	NES	pvalues	UNIPROT	mf
ATF2	2.356379279408535	0.018454064791474732	P15336	tf
ATF4	2.924575562726819	0.003449263259459414	P18848	tf
BMAL1	4.363105944579202	1.2822880600410701e-5	O00327	tf
DDIT3	2.951522340899115	0.0031621167016100773	P35638	tf
EGR3	3.3643205702373504	7.673235999347863e-4	Q06889	tf
ESRRG	2.5360812705637352	0.011210071511251973	P62508	tf
FOXO3	2.222121625704437	0.026275087164967778	O43524	tf
FOXO4	3.118475749991129	0.0018178910097361672	P98177	tf
HIF1A	-3.318125805519259	9.062365738987403e-4	Q16665	tf
HMGA2	2.0749021519899538	0.03799560423416368	P52926	tf
HOXA9	2.3150004177168	0.020612909209206276	P31269	tf
KAT2B	2.605613277073039	0.009170994265017232	Q92831	tf
KDM5A	2.25185176904144	0.024331640910821722	P29375	tf
MAX	2.199073059739847	0.027872727776732345	P61244;P61244	tf
MEF2D	2.9976305161630017	0.002720873254275229	Q14814	tf
NANOG	2.6187302162187582	0.008825771634113907	Q9H9S0	tf
NEUROD1	2.411485377625788	0.01588768891450319	Q13562	tf
NFAT5	-2.120860461801161	0.0339335468007477	O94916	tf
NFIX	-1.99875583019749	0.04563477901220132	Q14938	tf
NR2C2	2.9714854653103817	0.0029636290162377826	P49116	tf
NR2F2	2.4486810738655564	0.01433803410232129	P24468	tf
OLIG2	3.552138648810794	3.821134570456097e-4	Q13516	tf
POU2F1	3.1660342802738644	0.0015453258103694438	P14859	tf
PRDM1	2.3239079647299516	0.020130427298183973	O75626	tf
RB1	2.2733270258300635	0.02300648007731231	P06400	tf
REST	3.027133280308943	0.0024688507612246175	Q13127	tf
SMAD5	2.3320857245720172	0.019696181885123804	Q99717	tf
SREBF1	2.0418910956294147	0.04116233523909076	P36956;P36956	tf
STAT2	2.3927517456691345	0.01672255162636664	P52630	tf
XBP1	2.5394823427382325	0.011101664905406435	P17861;P17861	tf
ZIC1	2.7486044452618343	0.005984956356219692	Q15915	tf
