gene_name	phosphoscore	n_sign_phos	phos	act_rol	phosphosite_fc	UNIPROT	mf
AKT1	1.1871521012232855	2	S124;S129	1;1	1.17;1.21	P31749	kin
ARAF	0.24997386171274444	1	S257	1	0.25	P10398	kin
ARHGEF2	-0.7156356708819802	1	S960	-1	0.72	Q92974;Q92974	other
ATF2	1.034414112554504	1	T69	1	1.03	P15336	tf
ATF7	0.8566506645023422	1	T51	1	0.86	P17544	tf
BCL10	5.3319407799357705	1	S138	1	5.33	O95999	tf
BRAF	-1.6677760811805964	1	S365	-1	1.67	P15056	kin
CAP1	2.18915151603061	1	S310	1	2.19	Q01518	other
CDCA5	-1.8496264552044095	1	T111	-1	1.85	Q96FF9	other
CDK1	-0.9152486067442558	1	T14	-1	0.92	P06493	kin
CDK12	3.702784373034589	1	T893	1	3.7	Q9NYV4	kin
CTNND1	1.6525219297999871	1	S269	1	1.65	O60716	other
DNMT1	-0.0440948434402694	1	S143	-1	0.04	P26358;P26358	other
FLCN	-0.68614080966761	1	S62	-1	0.69	Q8NFG4	other
GTF2F1	-0.4987163907105064	2	S385;T389	-1;-1	0.35;0.65	P35269	other
GYS1	-2.0664369300763776	1	S653	-1	2.07	P13807	other
HSF1	-3.03746962026251	3	S303;S307;S326	-1;-1;1	4.72;0.34;-4.05	Q00613	tf
HSP90AB1	0.3007382572772094	1	S226	1	0.3	P08238	other
IRS1	-1.112384966640866	1	S1101	-1	1.11	P35568	other
KAT5	-0.21073027982250048	1	S86	1	-0.21	Q92993	tf
MAPK14	1.6382076565523778	2	T180;Y182	1;1	2.07;1.21	Q16539	kin
MAPK3	0.7668018435797004	2	T202;Y204	1;1	0.77;0.77	P27361;P27361	kin
MAX	-0.39321996801690134	1	S2	-1	0.39	P61244;P61244	tf
MCM2	0.3192981813032953	1	S41	1	0.32	P49736	other
NADK	0.01493587704328781	1	S46	1	0.01	O95544	kin
PDPK1	0.5462540303919072	1	S241	1	0.55	O15530	kin
PKN1	-1.8676083425541514	2	S533;S537	1;1	-1.89;-1.85	Q16512	kin
PRKAA1	-3.480937755456367	1	S496	-1	3.48	Q13131	kin
PRKAB1	1.1126567028922707	1	S108	1	1.11	Q9Y478	kin
PRKACA	-1.6513644082275118	1	S339	1	-1.65	P17612	kin
PRKAR1A	0.18357602192700903	1	S77	-1	-0.18	P10644	other
PRKAR2B	-2.924583603470141	1	S114	-1	2.92	P31323	other
PRKCD	4.027296544628083	1	T507	1	4.03	Q05655	kin
PRKDC	0.5154394894706547	1	T2609	1	0.52	P78527	kin
RPS6	-1.68586777173678	1	S235	1	-1.69	P62753	other
RUNX1	-1.806590583513802	1	S21	1	-1.81	Q01196;Q01196	tf
SLC12A2	-1.9150436068408156	1	S77	-1	1.92	P55011	other
SLC39A7	3.828225242993664	2	S275;S276	1;1	3.82;3.84	Q92504	other
SLC9A1	0.9480231515445056	1	S785	1	0.95	P19634	other
SRC	0.5533136339922262	1	S17	1	0.55	P12931	kin
STARD10	-0.8330919344616445	1	S284	-1	0.83	Q9Y365	other
STIM1	-2.500778104391463	1	S257	-1	2.5	Q13586	other
STK39	-3.2683944578684265	1	S371	1	-3.27	Q9UEW8	kin
STMN1	3.184601948349643	1	S63	-1	-3.18	P16949	other
TOP2A	0.9709928699252124	1	S1106	1	0.97	P11388	other
TRAF2	0.6893425344843924	1	S11	1	0.69	Q12933	other
TRIM28	0.6081836797912257	1	S473	1	0.61	Q13263	tf
ULK1	-0.43733529708235847	1	S469	-1	0.44	O75385	kin
UNG	-2.510627927953609	1	T60	1	-2.51	P13051	other
WDR62	2.602807650731155	1	T1053	1	2.6	O43379	other
