gene_name	NES	pvalues	UNIPROT	mf
ATR	2.981257410663453	0.002870673850582332	Q13535	kin
AURKA	-2.1371729905017443	0.032583923995916704	O14965	kin
CDK10	-4.030407395064858	5.568026275713319e-5	Q15131	kin
CDK11B	-4.278833387158751	1.8787542623809555e-5	P211272;P21127	kin
CDK17	-4.071702492577593	4.66707651601835e-5	Q00537	kin
CDK18	-2.7055000085772316	0.006820164650874331	Q07002	kin
CDK19	-4.278833387158751	1.8787542623809555e-5	Q9BWU1	kin
CDK6	-2.807664677697153	0.004990215826530359	Q00534	kin
CDK8	-4.071702492577593	4.66707651601835e-5	P49336	kin
CHUK	2.052779964028615	0.040093922582610096	O15111	kin
DUSP8	3.154459467327624	0.0016079571247603944	Q13202	phos
IKBKE	2.3895501210726406	0.016869021961225864	Q14164	kin
MAP3K13	-2.7957240240582393	0.005178359868354366	O43283	kin
MAP3K8	2.559620961849264	0.010478638205728516	P41279	kin
MAPK1	-0.17167918861555775	0.01307118105143567	P28482	kin
PAK2	-2.6370628360413426	0.008362733910551404	Q13177	kin
PLK1	-1.9622003524039453	0.049739162934015695	P53350	kin
PRKAA1	2.514923205144406	0.011905831417591441	Q13131	kin
PRKAB1	3.592506378861881	3.275126345534203e-4	Q9Y478	kin
PRKAG1	3.1109670040477306	0.0018647577474477427	P54619	kin
PRKAG2	2.896286970757127	0.0037760691975635557	Q9UGJ0	kin
PRKAG3	3.103143755595238	0.0019147660628324775	Q9UGI9	kin
PRKCE	-2.1269426214776463	0.03342485094678323	Q02156	kin
PRKDC	3.3481231246563827	8.136085627514575e-4	P78527	kin
TBK1	2.4579864284962523	0.013971845397470517	Q9UHD2	kin
ULK1	3.3625180603670715	7.723507369650431e-4	O75385	kin
