gene_name	NES	pvalues	reg_exp_meas	reg_exp_sign	pWeight	raw_weight	weight	weightedNES	UNIPROT	mf
AURKA	-2.2936370059590856	0.021811357905874386	9	3	0.021811357905874386	3.8253244400063777	0.311580627471102	-2.8586114300306864	O14965	kin
BRSK2	2.9975730270245604	0.002721386498482873	1120	405	0.002721386498482873	5.906613786459305	0.48110597118695203	5.768601129481851	Q8IWQ3	kin
CAMK2G	-2.1209017552879073	0.0339300709297621	1405	444	0.0339300709297621	3.383453609714794	0.2755893298118637	-2.3379915733463985	Q13555	kin
CAMK4	2.026115643189985	0.04275293541251131	1119	372	0.04275293541251131	3.1523174213365275	0.25676280679776375	2.080924557769268	Q16566	kin
CDK11B	-3.613226026219695	3.0241086913229394e-4	11	4	3.0241086913229394e-4	8.10372397140703	0.6600651629589367	-9.539858503216697	P211272;P21127	kin
CDK14	-2.408999387642369	0.015996324818124952	1577	516	0.015996324818124952	4.135396281994372	0.33683662355795374	-3.245756879546535	O94921	kin
CDK20	-3.201027315902188	0.0013693854959976133	11	4	0.0013693854959976133	6.593393182835071	0.5370455806535491	-6.876390294226249	Q8IZL9	kin
DUSP8	2.3654922769059423	0.018006118844885066	6	4	0.018006118844885066	4.017043643024117	0.32719655509015305	3.095923696383947	Q13202	phos
GRK5	-2.1822824259005094	0.029088695218629924	1238	409	0.029088695218629924	3.537405660742225	0.2881290443934353	-2.515115799885206	P34947	kin
GRK6	-2.8650383444236116	0.004169587499260036	1390	434	0.004169587499260036	5.4799381691051945	0.44635235520827915	-5.115266451182031	P43250	kin
HIPK3	-2.5039169401727954	0.01228268651860441	1658	562	0.01228268651860441	4.3995646083168936	0.3583536828726468	-3.5891514284725203	Q9H422	kin
HIPK4	-2.297140777036415	0.021610740253922907	1745	573	0.021610740253922907	3.8345648538939563	0.31233327839060926	-2.86989403926614	Q8NE63	kin
IRAK1	2.7260687096230116	0.006409365455546141	576	197	0.006409365455546141	5.049995005844196	0.41133259082313095	4.485283620364411	P51617	kin
MAP3K13	-2.929756907601433	0.0033922726812882884	8	1	0.0033922726812882884	5.6862551747528	0.4631573041964838	-5.427753245102826	O43283	kin
