gene_name	NES	pvalues	reg_exp_meas	reg_exp_sign	pWeight	raw_weight	weight	weightedNES	UNIPROT	mf
ATM	2.8173312546453895	0.0048424553315861525	54	22	0.0048424553315861525	5.330333386972202	0.4815790810946746	5.427071187005733	Q13315	kin
ATR	2.9456183764999975	0.0032230978990590337	24	11	0.0032230978990590337	5.737412301475484	0.5183573978241025	6.107532306501585	Q13535	kin
AURKA	-2.2936370059590856	0.021811357905874386	13	4	0.021811357905874386	3.8253244400063777	0.3456061928902533	-3.1707806140068753	O14965	kin
CDK10	-3.5561486615277405	3.763311799189714e-4	10	4	3.763311799189714e-4	7.885041004592171	0.7123889869001792	-10.1334445690087	Q15131	kin
CDK11B	-2.6504776332669566	0.00803780491684228	11	4	0.00803780491684228	4.823599253361336	0.43579722455638303	-4.620283185306042	P211272;P21127	kin
CDK17	-3.5561486615277405	3.763311799189714e-4	10	4	3.763311799189714e-4	7.885041004592171	0.7123889869001792	-10.1334445690087	Q00537	kin
CDK18	-2.8547633454527825	0.004306890853871355	13	4	0.004306890853871355	5.447539014798168	0.4921682458710292	-5.620095472433627	Q07002	kin
CDK19	-2.6504776332669566	0.00803780491684228	12	4	0.00803780491684228	4.823599253361336	0.43579722455638303	-4.620283185306042	Q9BWU1	kin
CDK4	-3.4253221412451795	6.140708461049452e-4	79	24	6.140708461049452e-4	7.395400251937674	0.6681514642892716	-9.15453601734172	P11802	kin
CDK6	-2.636699236528666	0.00837170216360187	58	17	0.00837170216360187	4.782898050329591	0.43211999716130456	-4.557481866415924	Q00534	kin
CDK8	-3.5561486615277405	3.763311799189714e-4	10	4	3.763311799189714e-4	7.885041004592171	0.7123889869001792	-10.1334445690087	P49336	kin
DUSP8	2.3654922769059423	0.018006118844885066	6	4	0.018006118844885066	4.017043643024117	0.3629274279640563	3.4340081117052517	Q13202	phos
MAP3K13	-2.929756907601433	0.0033922726812882884	8	1	0.0033922726812882884	5.6862551747528	0.5137355101690514	-6.020480638391698	O43283	kin
PAK2	-1.96745103491476	0.0491312356480776	15	7	0.0491312356480776	3.013260282536178	0.2722387161578904	-2.1424653753948286	Q13177	kin
PRKAB1	3.005259449947242	0.002653543958050435	19	8	0.002653543958050435	5.931859189769686	0.5359250707984251	6.442375533922447	Q9Y478	kin
PRKAG1	2.3105426284008193	0.020858131336634885	15	5	0.020858131336634885	3.870011414599762	0.34964352237778223	3.2314650527923265	P54619	kin
PRKAG2	2.4520049405696906	0.014206271138648247	19	8	0.014206271138648247	4.254071782382249	0.3843421848392373	3.7696357443806368	Q9UGJ0	kin
PRKAG3	2.3105426284008193	0.020858131336634885	15	5	0.020858131336634885	3.870011414599762	0.34964352237778223	3.2314650527923265	Q9UGI9	kin
PRKDC	4.320087451075019	1.5596737997769145e-5	58	42	1.5596737997769145e-5	11.068448768280907	1	17.280349804300076	P78527	kin
RPS6KA3	2.4010471258111545	0.016348230958975637	126	44	0.016348230958975637	4.113635585720515	0.37165421025474227	3.5694370933110537	P51812	kin
