gene_name	phosphoscore	n_sign_phos	phos	act_rol	phosphosite_fc	UNIPROT	mf
ACACA	-1.14508284771504	1	S29	1	-1.15	Q13085	other
AHNAK	0.02525334857443103	1	S216	1	0.03	Q09666	other
AKT1	1.2069087362534006	1	S129	1	1.21	P31749	kin
ARHGEF2	-0.7156356708819802	1	S960	-1	0.72	Q92974;Q92974	other
ARHGEF7	0.8419662576839235	1	S518	1	0.84	Q14155;Q14155	other
ATG9A	1.71301515164581	1	S761	1	1.71	Q7Z3C6	other
BCL10	5.3319407799357705	1	S138	1	5.33	O95999	tf
BRAF	-1.6677760811805964	1	S365	-1	1.67	P15056	kin
CAP1	2.18915151603061	1	S310	1	2.19	Q01518	other
CARHSP1	0.8056076456084276	1	S30	1	0.81	Q9Y2V2	other
CCND3	-1.239857316692487	1	T283	-1	1.24	P30281	kin
CCP110	1.9651808064239469	1	S366	-1	-1.97	O43303	other
CDCA5	-1.8496264552044095	1	T111	-1	1.85	Q96FF9	other
CDK1	-0.9152486067442558	1	T14	-1	0.92	P06493	kin
CDK12	3.702784373034589	1	T893	1	3.7	Q9NYV4	kin
CDKN1B	0.4379742126693997	1	S178	1	0.44	P46527	other
CIC	-0.49632440652634663	1	S1082	-1	0.5	Q96RK0	tf
CLIP1	0.7972293028237112	1	S195	1	0.8	P30622;P30622	other
CRTC2	-1.7185529632044587	1	S70	-1	1.72	Q53ET0	other
CTNNB1	0.4829047160293825	1	S191	1	0.48	P35222	tf
DNAJC5	0.7235560775195482	1	S10	1	0.72	Q9H3Z4	other
DNM1	0.10737218985380814	2	S774;S778	1;1	0.11;0.11	Q05193	other
DPYSL2	-1.7372526527183914	1	T514	-1	1.74	Q16555;NP_001184222	other
EEF2K	-0.23104753817886128	1	S445	-1	0.23	O00418	kin
EIF4EBP1	3.4708344523820824	1	S83	-1	-3.47	Q13541	other
EP300	-0.35090887395279635	1	S1038	-1	0.35	Q09472	tf
EPS15	1.1451112222379902	1	S796	1	1.15	P42566	other
FLCN	-0.68614080966761	1	S62	-1	0.69	Q8NFG4	other
GTF2F1	-0.4987163907105064	2	S385;T389	-1;-1	0.35;0.65	P35269	other
HBP1	0.41396648817741694	1	S402	1	0.41	O60381	tf
HMGA1	1.5856001119067156	1	S36	-1	-1.59	P17096	tf
HMGN1	-1.3832061962585636	1	S89	-1	1.38	P05114	other
HNRNPH1	0.4667040462943657	1	S104	1	0.47	P31943	other
HSF1	-3.03746962026251	3	S303;S307;S326	-1;-1;1	4.72;0.34;-4.05	Q00613	tf
HSP90AA1	0.2460537183903695	1	S263	1	0.25	P07900	other
IRS1	-0.788125738464326	3	S531;S1100;S1101	-1;-1;-1	2.96;-1.7;1.11	P35568	other
ITGB4	1.058355555099463	1	S1424	-1	-1.06	P16144	other
JUNB	-1.2829821124962166	1	S251	-1	1.28	P17275	tf
JUND	1.0758921957773784	1	S100	1	1.08	P17535	tf
KAT5	-0.21073027982250048	1	S86	1	-0.21	Q92993	tf
KAT7	-3.415144509190135	1	T88	1	-3.42	O95251	other
KIF13B	-0.5799805108617384	1	S1381	-1	0.58	Q9NQT8	other
KLC2	0.8699054567886171	1	S582	1	0.87	Q9H0B6	other
LIMA1	-0.02007978672983728	1	S362	-1	0.02	Q9UHB6	other
MAP2	3.945678412578584	1	S1791	-1	-3.95	P11137	other
MAP3K3	-1.4973443670775448	1	S337	-1	1.5	Q99759	kin
