gene_name	phosphoscore	n_sign_phos	phos	act_rol	phosphosite_fc	UNIPROT	mf
ATG9A	6.14109295094401	2	S14;S761	1;1	4.9;7.38	Q7Z3C6	other
AXIN1	-1.34215863545736	1	S77	1	-1.34	O15169	other
CDK12	5.43255435516764	1	T893	1	5.43	Q9NYV4	kin
CERS4	3.02816200256348	1	S347	1	3.03	Q9HA82	other
CROCC	-5.698665933333333	1	S1460	-1	5.7	Q5TZA2;Q5TZA2	other
CRTC2	-4.208769600678713	1	S70	-1	4.21	Q53ET0	other
EEF1D	4.2273670333333335	1	S162	1	4.23	P29692	other
EIF4EBP1	4.0658571425537104	1	S83	-1	-4.07	Q13541	other
ETV3	-2.13661575317383	1	S139	-1	2.14	P41162	tf
HSF1	-4.385532061258955	2	S303;S326	-1;1	5.74;-3.03	Q00613	tf
IRS1	-5.367034926961264	2	S531;S1101	-1;-1	6.29;4.44	P35568	other
IRS2	-0.948266347249348	1	S365	-1	0.95	Q9Y4H2	other
JDP2	1.14825057983398	1	T148	1	1.15	Q8WYK2	tf
LATS1	-0.86517651875814	1	S464	-1	0.87	O95835	kin
MACF1	5.2127099	1	S7497	-1	-5.21	Q9UPN3	other
MAP4	-5.053032552823897	1	S941	-1	5.05	P27816	other
MAPK8IP3	2.25579198201497	1	S365	1	2.26	Q9UPT6	other
MAPT	-0.945577814387208	2	S721;S726	-1;-1	5.91;-4.01	P10636;P10636	other
MCC	2.835866928100585	2	S118;S120	1;1	2.78;2.89	P23508;SIGNOR-C382	other
MDC1	-4.099978678751627	1	T378	1	-4.1	Q14676	other
MNX1	-0.785426457722984	2	S77;S79	-1;-1	0.79;0.79	P50219	tf
MRTFA	-0.994447072347004	1	S454	-1	0.99	Q969V6	tf
NDRG2	4.765684726430663	1	S332	1	4.77	Q9UN36	other
NME1	7.103711716666668	2	S120;S122	1;1	7.23;6.98	P15531	kin
PIMREG	0.937429428100586	1	S131	1	0.94	Q9BSJ6	other
POLR2A	5.02337835030111	1	S1861	1	5.02	P24928	other
PPP1R2	-2.8424363666666665	1	S121	1	-2.84	P41236	other
PRKAA1	-4.549451155745444	1	S496	-1	4.55	Q13131	kin
PRKCA	-3.14717353076172	1	T638	1	-3.15	P17252	kin
PRKCD	4.4108142752767	1	T507	1	4.41	Q05655	kin
PTPN12	2.998775011995443	1	S435	-1	-3	Q05209	phos
PTPRA	3.51985041300455	1	S189	1	3.52	P18433;P18433	phos
RBL2	-4.5862556823527	2	S639;T642	1;1	-4.36;-4.81	Q08999	other
RPS6KB1	-1.4171464708116333	3	T390;S394;S441	1;1;1	-3.97;-3.26;2.98	P23443;P23443	kin
SNX27	5.045353302319336	1	S51	1	5.05	Q96L92	other
STIM1	-4.925748811751303	1	S257	-1	4.93	Q13586	other
STK39	-3.61143440965983	1	S371	1	-3.61	Q9UEW8	kin
STMN1	3.1900304073811867	1	S63	-1	-3.19	P16949	other
SUFU	-3.13606484731039	2	S342;S346	1;1	-3.07;-3.2	Q9UMX1	tf
TOP1	-4.66430661861979	1	S10	-1	4.66	P11387	kin
TSC2	4.988357617950847	1	S1387	1	4.99	P49815	other
WEE1	-1.89186795552572	1	S139	-1	1.89	P30291	kin
YAP1	-2.75146675109863	1	S61	-1	2.75	P46937;P46937-2;P46937	tf
ZFP36	-1.85065015157064	1	S60	-1	1.85	P26651	other
