phenotype	phenoscore	phenoscore_time	pheno_id
cell death	  4.640853	22.9	Pheno1
glycolysis	-16.129670	22.9	Pheno1
lipogenesis	  8.535336	22.9	Pheno1
myotube hypertrophy	 17.036457	22.9	Pheno1
proliferation	  0.000000	22.9	Pheno1
vldl assembly	 13.529776	22.9	Pheno1
cell death	  4.054228	19.89	Pheno2
glycolysis	-14.164192	19.89	Pheno2
lipogenesis	 12.287729	19.89	Pheno2
myotube hypertrophy	 12.808636	19.89	Pheno2
proliferation	  0.000000	19.89	Pheno2
vldl assembly	 24.531913	19.89	Pheno2
apoptosis	 2.2893910	20.62	Pheno3
autophagy	11.1486357	20.62	Pheno3
cell cycle block	-2.2820823	20.62	Pheno3
cell cycle exit	-0.5468718	20.62	Pheno3
cell cycle progress 	 2.2820823	20.62	Pheno3
cell death	 2.0281722	20.62	Pheno3
cell growth	 8.0261745	20.62	Pheno3
centrosome separation	20.3838671	20.62	Pheno3
dendritic spine morphogenesis	-5.2715552	20.62	Pheno3
fibrosis	 0.5905160	20.62	Pheno3
glycolysis	-2.1749639	20.62	Pheno3
lipogenesis	10.9367311	20.62	Pheno3
m2 polarization	16.8861117	20.62	Pheno3
metastasis	 7.7027464	20.62	Pheno3
muscle atrophy	11.1486357	20.62	Pheno3
myotube hypertrophy	-2.1479654	20.62	Pheno3
proliferation	 0.2915997	20.62	Pheno3
protein synthesis	-0.6842659	20.62	Pheno3
skeletal muscle differentiation	 2.7065804	20.62	Pheno3
survival	-2.0187559	20.62	Pheno3
t cell activation	 6.1210000	20.62	Pheno3
translational regulation	-6.4438961	20.62	Pheno3
vldl assembly	 9.3346085	20.62	Pheno3
apoptosis	  1.9854265	20.05	Pheno4
autophagy	  8.0865677	20.05	Pheno4
cell cycle block	 -2.2240779	20.05	Pheno4
cell cycle exit	 -0.6930878	20.05	Pheno4
cell cycle progress 	  2.2240779	20.05	Pheno4
cell death	  1.7488639	20.05	Pheno4
cell growth	  8.6045989	20.05	Pheno4
centrosome separation	 18.7217644	20.05	Pheno4
dendritic spine morphogenesis	 -8.0656830	20.05	Pheno4
fibrosis	  0.7076014	20.05	Pheno4
glycolysis	 -2.1849882	20.05	Pheno4
lipogenesis	 12.4715648	20.05	Pheno4
m2 polarization	 14.2873436	20.05	Pheno4
metastasis	  6.9328734	20.05	Pheno4
muscle atrophy	  8.0865677	20.05	Pheno4
myotube hypertrophy	 -2.9165912	20.05	Pheno4
proliferation	  0.4198617	20.05	Pheno4
protein synthesis	 -0.8069797	20.05	Pheno4
skeletal muscle differentiation	  2.6641348	20.05	Pheno4
survival	 -1.8193559	20.05	Pheno4
t cell activation	  6.2837885	20.05	Pheno4
translational regulation	-12.0881562	20.05	Pheno4
vldl assembly	  8.1017879	20.05	Pheno4
adipogenesis	 -2.10172465	24.05	Pheno5
alternative splicing regulation	 16.55481687	24.05	Pheno5
apoptosis	  0.47715605	24.05	Pheno5
autophagy	  0.73900346	24.05	Pheno5
cell cycle block	 -0.52180708	24.05	Pheno5
cell cycle exit	 -0.73630750	24.05	Pheno5
cell cycle progress 	  0.52180708	24.05	Pheno5
cell death	  0.05884911	24.05	Pheno5
cell growth	  3.65316846	24.05	Pheno5
centrosome separation	  9.97902455	24.05	Pheno5
chromatine condensation	-27.36742598	24.05	Pheno5
cilium assembly	-11.66939616	24.05	Pheno5
dendritic spine morphogenesis	 -2.84739310	24.05	Pheno5
differentiation	  1.13314946	24.05	Pheno5
dna repair	  0.21329899	24.05	Pheno5
epigenetic regulation	 -1.71492102	24.05	Pheno5
epithelial-mesenchymal transition	  1.79008025	24.05	Pheno5
fatty acid biosynthesis	  9.85511514	24.05	Pheno5
fibrosis	  1.16551340	24.05	Pheno5
food intake	 -5.33563748	24.05	Pheno5
g1/s transition	  2.37220352	24.05	Pheno5
glycogen synthesis	  2.79075546	24.05	Pheno5
glycolysis	 -0.46045003	24.05	Pheno5
immortality	 -6.83807144	24.05	Pheno5
lipogenesis	  4.50383709	24.05	Pheno5
m1 polarization	  4.51203219	24.05	Pheno5
m2 polarization	  3.33765259	24.05	Pheno5
mast-cell diff	 11.17194639	24.05	Pheno5
megakaryocyte differentiation 	 11.17194639	24.05	Pheno5
metastasis	  3.03634980	24.05	Pheno5
microtubule polimerization	  4.30358894	24.05	Pheno5
mitochondrial fission	 -5.74723178	24.05	Pheno5
mitotic checkpoint	  3.58436350	24.05	Pheno5
muscle atrophy	  0.64833522	24.05	Pheno5
myoblast fusion	  3.21188516	24.05	Pheno5
myotube hypertrophy	 -2.35711948	24.05	Pheno5
neurite outgrowth	  2.17948342	24.05	Pheno5
neurodegeneration	  2.18759061	24.05	Pheno5
neurogenesis	 -4.79868359	24.05	Pheno5
neuron maturation	         Inf	24.05	Pheno5
nucleotide synthesis	  0.00000000	24.05	Pheno5
osteoclast differentiation	 14.37179994	24.05	Pheno5
proliferation	  0.07526687	24.05	Pheno5
protein synthesis	 -1.88342544	24.05	Pheno5
pyrimidine biosynthesis	 -3.69867745	24.05	Pheno5
rrna transcription	 -9.00389735	24.05	Pheno5
skeletal muscle differentiation	 -4.92956384	24.05	Pheno5
spindle assembly	  4.81348442	24.05	Pheno5
stress granules	-15.28071955	24.05	Pheno5
survival	 -1.76412023	24.05	Pheno5
synaptic plasticity	  0.42577135	24.05	Pheno5
synaptic vesicle exocytosis	  4.63216247	24.05	Pheno5
t cell activation	  1.39147563	24.05	Pheno5
translational regulation	 -3.32144405	24.05	Pheno5
vesicle transport	         Inf	24.05	Pheno5
vldl assembly	  4.55166950	24.05	Pheno5
adipogenesis	 -2.1031339	24.88	Pheno6
alternative splicing regulation	 11.3524859	24.88	Pheno6
apoptosis	  0.4779104	24.88	Pheno6
autophagy	  0.6610716	24.88	Pheno6
cell cycle block	 -0.8712036	24.88	Pheno6
cell cycle exit	 -0.7235956	24.88	Pheno6
cell cycle progress 	  0.8712036	24.88	Pheno6
cell death	  0.0616685	24.88	Pheno6
cell growth	  3.0118036	24.88	Pheno6
centrosome separation	 10.1213961	24.88	Pheno6
chromatine condensation	-20.1424920	24.88	Pheno6
cilium assembly	-12.2512117	24.88	Pheno6
dendritic spine morphogenesis	 -3.0000025	24.88	Pheno6
differentiation	  0.9407276	24.88	Pheno6
dna repair	  0.2161747	24.88	Pheno6
epigenetic regulation	 -2.5266758	24.88	Pheno6
epithelial-mesenchymal transition	  1.9206454	24.88	Pheno6
fatty acid biosynthesis	 10.2259461	24.88	Pheno6
fibrosis	  1.1372052	24.88	Pheno6
food intake	 -6.1777668	24.88	Pheno6
g1/s transition	  2.9684888	24.88	Pheno6
glycogen synthesis	  2.5763650	24.88	Pheno6
glycolysis	 -0.4270980	24.88	Pheno6
immortality	 -9.8593251	24.88	Pheno6
lipogenesis	  4.8645751	24.88	Pheno6
m1 polarization	  3.4895958	24.88	Pheno6
m2 polarization	  2.9967403	24.88	Pheno6
mast-cell diff	  7.0212953	24.88	Pheno6
megakaryocyte differentiation 	  7.0212953	24.88	Pheno6
metastasis	  3.3435368	24.88	Pheno6
microtubule polimerization	  4.2100169	24.88	Pheno6
mitochondrial fission	 -4.8215138	24.88	Pheno6
mitotic checkpoint	  3.5486808	24.88	Pheno6
muscle atrophy	  0.6306676	24.88	Pheno6
myoblast fusion	  3.3689131	24.88	Pheno6
myotube hypertrophy	 -2.1215084	24.88	Pheno6
neurite outgrowth	  2.9084413	24.88	Pheno6
neurodegeneration	  2.2392086	24.88	Pheno6
neurogenesis	 -5.0324690	24.88	Pheno6
neuron maturation	        Inf	24.88	Pheno6
nucleotide synthesis	  0.0000000	24.88	Pheno6
osteoclast differentiation	 15.2980936	24.88	Pheno6
proliferation	  0.2039276	24.88	Pheno6
protein synthesis	 -1.5385183	24.88	Pheno6
pyrimidine biosynthesis	 -5.2234751	24.88	Pheno6
rrna transcription	 -9.6889907	24.88	Pheno6
skeletal muscle differentiation	 -4.5538007	24.88	Pheno6
spindle assembly	  5.9687611	24.88	Pheno6
stress granules	-15.2980936	24.88	Pheno6
survival	 -1.4576992	24.88	Pheno6
synaptic plasticity	  0.5586628	24.88	Pheno6
synaptic vesicle exocytosis	  5.8474059	24.88	Pheno6
t cell activation	  1.0610517	24.88	Pheno6
translational regulation	 -2.8629598	24.88	Pheno6
vesicle transport	        Inf	24.88	Pheno6
vldl assembly	  4.1829773	24.88	Pheno6
apoptosis	  2.677713	22.59	Pheno7
cell cycle block	 -2.885879	22.59	Pheno7
cell cycle exit	 -6.654712	22.59	Pheno7
cell cycle progress 	  2.885879	22.59	Pheno7
cell death	  4.557832	22.59	Pheno7
cell growth	  7.826164	22.59	Pheno7
glycolysis	-19.770526	22.59	Pheno7
lipogenesis	  7.826164	22.59	Pheno7
myotube hypertrophy	 14.226340	22.59	Pheno7
proliferation	  0.000000	22.59	Pheno7
vldl assembly	 11.546212	22.59	Pheno7
apoptosis	  2.422313	21.4	Pheno8
cell cycle block	 -3.793098	21.4	Pheno8
cell cycle exit	 -6.730495	21.4	Pheno8
cell cycle progress 	  3.793098	21.4	Pheno8
cell death	  3.555514	21.4	Pheno8
cell growth	  8.277133	21.4	Pheno8
glycolysis	-13.318923	21.4	Pheno8
lipogenesis	  8.795234	21.4	Pheno8
myotube hypertrophy	 12.048846	21.4	Pheno8
proliferation	  0.000000	21.4	Pheno8
vldl assembly	 20.247647	21.4	Pheno8
adipogenesis	  1.6934436	23.5	Pheno9
apoptosis	  1.6878484	23.5	Pheno9
autophagy	  5.7554682	23.5	Pheno9
cell cycle block	 -3.0312808	23.5	Pheno9
cell cycle exit	 -0.7947456	23.5	Pheno9
cell cycle progress 	  3.0312808	23.5	Pheno9
cell death	  2.3211036	23.5	Pheno9
cell growth	  7.1199025	23.5	Pheno9
centrosome separation	 36.3791235	23.5	Pheno9
